Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86606,-13,-86595,29192,-27325,-19334,2379,0,0,-99999,-99999,-99999,-99999,-99999,-18312,-99999,-99999,-18312,-99999,-99999,-99999,-99999,-99999,-18312
50,85648,1872,-87522,29145,-25172,-19764,2379,0,0,-99984,-97525,62499,90803,-98124,-18312,90803,-97777,-18312,-99984,-97529,62499,90803,-98124,-18312
100,84660,3756,-88418,29079,-23011,-20180,2379,0,0,-99671,-92638,62499,90823,-94420,-18436,90823,-93388,-18436,-99671,-92649,62499,90823,-94420,-18436
150,83643,5639,-89284,28981,-20845,-20570,2379,0,0,-99012,-87871,62307,90907,-90808,-18547,90907,-89109,-18547,-99012,-87889,62307,90907,-90808,-18547
200,82595,7520,-90117,28857,-18672,-20938,2379,0,0,-98343,-83222,62013,91029,-87287,-18525,91029,-84937,-18525,-98343,-83247,62013,91029,-87287,-18525
250,81518,9398,-90918,28720,-16497,-21296,2379,0,0,-97681,-78687,61820,91171,-83856,-18503,91171,-80872,-18503,-97681,-78720,61820,91171,-83856,-18503
300,80412,11273,-91687,28573,-14323,-21645,2379,0,0,-97046,-74265,61645,91315,-80512,-18470,91315,-76910,-18470,-97046,-74304,61645,91315,-80512,-18470
350,79277,13144,-92423,28416,-12152,-21985,2379,0,0,-96438,-69952,61478,91458,-77253,-18421,91458,-73049,-18421,-96438,-69997,61478,91458,-77253,-18421
400,78114,15010,-93126,28250,-9983,-22316,2379,0,0,-95858,-65745,61318,91599,-74078,-18356,91599,-69287,-18356,-95858,-65797,61318,91599,-74078,-18356
450,76924,16871,-93796,28073,-7818,-22637,2379,0,0,-95307,-61642,61162,91738,-70984,-18275,91738,-65621,-18275,-95307,-61700,61162,91738,-70984,-18275
500,75706,18726,-94433,27885,-5657,-22948,2379,0,0,-94784,-57640,61011,91874,-67969,-18181,91874,-62049,-18181,-94784,-57705,61011,91874,-67969,-18181
550,74461,20574,-95037,27687,-3501,-23249,2379,0,0,-94288,-53738,60865,92008,-65031,-18071,92008,-58568,-18071,-94288,-53808,60865,92008,-65031,-18071
