Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86607,-17,-86593,99998,-36306,-55272,0,0,0,-99999,-99999,-99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,-99999,-99999,-99999,99999
50,85650,1868,-87520,99979,-34319,-56997,0,0,0,-99983,-97526,62856,94045,-97461,99999,94045,-97461,99999,-99983,-97529,62856,94045,-97461,99999
100,84662,3752,-88417,99903,-32322,-58684,0,0,0,-99645,-92639,62856,94036,-92448,95898,94036,-92448,95898,-99645,-92649,62856,94036,-92448,95898
150,83644,5635,-89282,99740,-30314,-60306,0,0,0,-98936,-87873,62666,94061,-87559,89656,94061,-87559,89656,-98936,-87890,62666,94061,-87559,89656
200,82597,7515,-90115,99496,-28298,-61870,0,0,0,-98222,-83225,62374,94120,-82791,85432,94120,-82791,85432,-98222,-83248,62374,94120,-82791,85432
250,81520,9394,-90916,99197,-26273,-63395,0,0,0,-97514,-78691,62179,94201,-78143,81311,94201,-78143,81311,-97514,-78721,62179,94201,-78143,81311
300,80414,11268,-91685,98855,-24242,-64889,0,0,0,-96829,-74270,62002,94290,-73612,77458,94290,-73612,77458,-96829,-74306,62002,94290,-73612,77458
350,79279,13139,-92421,98473,-22207,-66353,0,0,0,-96172,-69958,61833,94381,-69195,73894,94381,-69195,73894,-96172,-69999,61833,94381,-69195,73894
400,78116,15005,-93125,98052,-20169,-67788,0,0,0,-95544,-65752,61671,94473,-64889,70618,94473,-64889,70618,-95544,-65799,61671,94473,-64889,70618
450,76926,16866,-93795,97593,-18128,-69193,0,0,0,-94947,-61650,61514,94564,-60693,67692,94564,-60693,67692,-94947,-61703,61514,94564,-60693,67692
500,75708,18721,-94432,97094,-16085,-70567,0,0,0,-94379,-57649,61361,94654,-56602,65055,94654,-56602,65055,-94379,-57708,61361,94654,-56602,65055
550,74463,20569,-95036,96556,-14041,-71909,0,0,0,-93841,-53747,61214,94744,-52614,62706,94744,-52614,62706,-93841,-53811,61214,94744,-52614,62706
600,73192,22410,-95605,95979,-11997,-73219,0,0,0,-93332,-49941,61071,94832,-48728,60646,94832,-48728,60646,-93332,-50011,61071,94832,-48728,60646
650,71894,24243,-96141,95362,-9953,-74496,0,0,0,-92853,-46230,60933,94921,-44939,58812,94921,-44939,58812,-92853,-46304,60933,94921,-44939,58812
700,70571,26068,-96642,94707,-7910,-75739,0,0,0,-92404,-42610,60800,95008,-41247,57246,95008,-41247,57246,-92404,-42689,60800,95008,-41247,57246
750,69224,27883,-97110,94014,-5870,-76949,0,0,0,-91983,-39079,60673,95096,-37648,55886,95096,-37648,55886,-91983,-39164,60673,95096,-37648,55886
800,67851,29688,-97542,93285,-3834,-78124,0,0,0,-91592,-35636,60551,95182,-34140,54733,95182,-34140,54733,-91592,-35725,60551,95182,-34140,54733
850,66454,31482,-97940,92520,-1802,-79266,0,0,0,-91230,-32277,60435,95269,-30720,53764,95269,-30720,53764,-91230,-32371,60435,95269,-30720,53764
900,65034,33266,-98304,91720,224,-80375,0,0,0,-90897,-29002,60325,95354,-27388,52981,95354,-27388,52981,-90897,-29100,60325,95354,-27388,52981
950,63591,35037,-98632,90888,2244,-81450,0,0,0,-90593,-25807,60222,95440,-24140,52384,95440,-24140,52384,-90593,-25910,60222,95440,-24140,52384
1000,62125,36797,-98925,90024,4255,-82492,0,0,0,-90317,-22691,60126,95524,-20974,51931,95524,-20974,51931,-90317,-22799,60126,95524,-20974,51931
1050,60637,38543,-99183,89130,6258,-83501,0,0,0,-90069,-19653,60038,95609,-17889,51642,95609,-17889,51642,-90069,-19764,60038,95609,-17889,51642
1100,59127,40275,-99406,88209,8250,-84478,0,0,0,-89849,-16689,59958,95692,-14882,51519,95692,-14882,51519,-89849,-16804,59958,95692,-14882,51519
1150,57597,41993,-99594,87260,10232,-85423,0,0,0,-89658,-13798,59887,95775,-11951,51539,95775,-11951,51539,-89658,-13918,59887,95775,-11951,51539
1200,56046,43696,-99746,86286,12201,-86337,0,0,0,-89494,-10979,59825,95858,-9095,51683,95858,-9095,51683,-89494,-11102,59825,95858,-9095,51683
1250,54475,45384,-99862,85288,14158,-87219,0,0,0,-89357,-8229,59774,95940,-6312,51972,95940,-6312,51972,-89357,-8357,59774,95940,-6312,51972
1300,52884,47056,-99944,84268,16102,-88070,0,0,0,-89248,-5548,59734,96021,-3599,52404,96021,-3599,52404,-89248,-5679,59734,96021,-3599,52404
1350,51275,48710,-99989,83226,18031,-88892,0,0,0,-89165,-2932,59706,96101,-956,52961,96101,-956,52961,-89165,-3067,59706,96101,-956,52961
1400,49648,50348,-99999,82164,19945,-89683,0,0,0,-89109,-381,59691,96181,1621,53620,96181,1621,53620,-89109,-519,59691,96181,1621,53620
1450,48003,51968,-99974,81083,21844,-90445,0,0,0,-89079,2107,59691,96260,4131,54424,96260,4131,54424,-89079,1965,59691,96260,4131,54424
1500,46340,53569,-99913,79983,23728,-91178,0,0,0,-89075,4533,59706,96339,6578,55310,96339,6578,55310,-89075,4388,59706,96339,6578,55310
1550,44662,55151,-99817,78865,25595,-91882,0,0,0,-89096,6900,59740,96416,8962,56319,96416,8962,56319,-89096,6752,59740,96416,8962,56319
1600,42967,56713,-99685,77731,27446,-92557,0,0,0,-89142,9208,59792,96493,11285,57432,96493,11285,57432,-89142,9057,59792,96493,11285,57432
1650,41258,58256,-99518,76579,29280,-93204,0,0,0,-89212,11459,59866,96569,13550,58627,96569,13550,58627,-89212,11305,59866,96569,13550,58627
1700,39533,59777,-99315,75411,31098,-93822,0,0,0,-89305,13655,59964,96644,15756,59904,96644,15756,59904,-89305,13497,59964,96644,15756,59904
1750,37795,61278,-99077,74227,32898,-94412,0,0,0,-89422,15796,60089,96718,17906,61243,96718,17906,61243,-89422,15635,60089,96718,17906,61243
1800,36043,62756,-98804,73027,34681,-94973,0,0,0,-89561,17885,60243,96792,20000,62665,96792,20000,62665,-89561,17721,60243,96792,20000,62665
1850,34278,64213,-98495,71811,36447,-95505,0,0,0,-89722,19922,60432,96864,22042,64128,96864,22042,64128,-89722,19755,60432,96864,22042,64128
1900,32502,65646,-98152,70578,38195,-96010,0,0,0,-89903,21908,60659,96936,24031,65652,96936,24031,65652,-89903,21739,60659,96936,24031,65652
1950,30713,67056,-97774,69330,39926,-96485,0,0,0,-90103,23846,60930,97007,25969,67198,97007,25969,67198,-90103,23674,60930,97007,25969,67198
2000,28914,68443,-97361,68066,41640,-96931,0,0,0,-90321,25736,61251,97078,27857,68764,97078,27857,68764,-90321,25561,61251,97078,27857,68764
2050,27104,69805,-96914,66785,43335,-97349,0,0,0,-90556,27579,61631,97147,29698,70350,97147,29698,70350,-90556,27402,61631,97147,29698,70350
2100,25285,71142,-96432,65487,45013,-97737,0,0,0,-90804,29376,62078,97216,31490,71937,97216,31490,71937,-90804,29197,62078,97216,31490,71937
2150,23457,72454,-95916,64173,46673,-98095,0,0,0,-91065,31129,62606,97284,33237,73523,97284,33237,73523,-91065,30947,62606,97284,33237,73523
2200,21621,73740,-95365,62843,48315,-98424,0,0,0,-91334,32839,63228,97352,34939,75068,97352,34939,75068,-91334,32655,63228,97352,34939,75068
2250,19777,75000,-94781,61495,49939,-98722,0,0,0,-91608,34507,63961,97418,36598,76614,97418,36598,76614,-91608,34320,63961,97418,36598,76614
2300,17925,76234,-94163,60131,51543,-98990,0,0,0,-91881,36133,64830,97484,38213,78097,97484,38213,78097,-91881,35945,64830,97484,38213,78097
2350,16068,77440,-93512,58751,53128,-99227,0,0,0,-92147,37720,65859,97549,39787,79560,97549,39787,79560,-92147,37529,65859,97549,39788,79560
2400,14205,78619,-92828,57355,54693,-99433,0,0,0,-92395,39267,67083,97614,41321,80961,97614,41321,80961,-92395,39074,67083,97614,41321,80961
2450,12336,79770,-92110,55942,56236,-99608,0,0,0,-92612,40776,68538,97677,42815,82300,97677,42815,82300,-92612,40581,68538,97677,42815,82300
