Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,98374,-50549,-48537,30600,-639,-55469,581,-16078,-99999,5374,14753,-99999,-4625,3390,-99999,-5171,3493,-99999,8280,14762,-99999,12837,15439,-99999,14174,16301,-99999,2135,13453,-99999,829,-14477,-99999,-20240,2189,-99999,-15878,2135,-99999,-15719,1971,-99999,602,-14338,-99999,2661,16926,-99999,-99999,-99999,-99999,-99999,-99999,-99999
50,98381,-48924,-50161,30664,-214,-56933,-48183,-17581,-97511,96030,16195,-97487,-51363,2018,-97454,-51725,2123,-97454,96379,16207,-97485,95187,16902,-97478,95475,17785,-97474,97671,14877,-97493,-43504,-16007,-97506,-59865,824,-97425,-57666,766,-97426,-57503,600,-97423,-43713,-15871,-97505,42295,18429,-97469,-99998,98758,-99998,98665,-99998,98681
100,99368,-48146,-52053,30301,442,-58143,-51018,-20549,-92595,98803,19043,-92524,-55102,-691,-92426,-55384,-584,-92427,98516,19060,-92517,97296,19792,-92497,97109,20716,-92485,99146,17689,-92542,-47378,-19027,-92581,-59314,-1874,-92341,-57261,-1938,-92341,-57280,-2108,-92334,-48394,-18898,-92579,44396,21397,-92471,-99650,98758,-99661,98665,-99662,98681
150,99999,-47284,-53883,29235,1536,-58898,-53363,-23443,-87800,99999,21821,-87683,-57244,-3334,-87522,-57937,-3225,-87524,99622,21842,-87672,98560,22611,-87639,98176,23574,-87619,99999,20431,-87714,-49552,-21973,-87778,-58319,-4505,-87382,-56409,-4575,-87383,-56355,-4749,-87370,-50725,-21850,-87774,45358,24292,-87596,-98932,98508,-98956,98408,-98953,98419
200,99863,-45612,-55513,27887,2844,-59385,-55105,-26265,-83124,99729,24529,-82962,-55743,-5910,-82740,-56395,-5799,-82742,99373,24555,-82947,98167,25360,-82901,98035,26361,-82874,99833,23104,-83005,-51036,-24845,-83093,-57199,-7070,-82545,-55518,-7146,-82547,-55545,-7324,-82529,-52135,-24728,-83087,45289,27115,-82842,-98181,98120,-98209,98011,-98195,98016
250,99906,-44118,-57129,26466,4205,-59747,-56838,-29016,-78563,99870,27169,-78357,-54719,-8421,-78075,-55421,-8308,-78078,99702,27199,-78338,98818,28038,-78280,98504,29077,-78245,99956,25710,-78412,-52769,-27644,-78523,-56214,-9569,-77828,-54926,-9652,-77830,-55036,-9833,-77808,-53898,-27534,-78516,45524,29866,-78205,-97408,97853,-97441,97743,-97416,97746
300,99726,-42432,-58665,24961,5625,-60028,-58395,-31696,-74115,99624,29741,-73866,-53022,-10868,-73526,-53695,-10753,-73529,99526,29775,-73843,98603,30649,-73774,98491,31724,-73731,99783,28249,-73932,-54333,-30372,-74067,-55266,-12005,-73227,-54416,-12094,-73230,-54664,-12279,-73203,-55365,-30268,-74059,45452,32547,-73682,-96618,97599,-96656,97488,-96620,97492
350,99712,-40892,-60241,23366,7099,-60228,-60075,-34308,-69777,99814,32247,-69486,-51771,-13252,-69089,-52447,-13134,-69092,99799,32285,-69459,99088,33192,-69378,98915,34303,-69328,99871,30723,-69563,-56160,-33031,-69721,-54437,-14378,-68740,-54077,-14473,-68743,-54448,-14661,-68712,-57220,-32932,-69711,45700,35158,-69271,-95811,97350,-95853,97237,-95807,97241
400,99561,-39264,-61755,21643,8649,-60329,-61642,-36852,-65545,99656,34687,-65214,-50237,-15572,-64761,-50902,-15453,-64765,99803,34730,-65183,99238,35668,-65091,99118,36814,-65034,99777,33132,-65302,-57800,-35620,-65482,-53647,-16688,-64363,-53732,-16789,-64367,-54226,-16980,-64331,-58743,-35527,-65470,45696,37701,-64969,-94988,97102,-95031,96987,-94976,96992
450,99462,-37675,-63300,19798,10270,-60320,-63312,-39329,-61419,99810,37062,-61048,-48890,-17831,-60540,-49546,-17710,-60545,99917,37109,-61013,99385,38079,-60910,99364,39258,-60847,99774,35477,-61146,-59711,-38141,-61347,-52958,-18936,-60095,-53413,-19043,-60099,-54019,-19238,-60059,-60678,-38054,-61335,45902,40177,-60773,-94150,96854,-94191,96737,-94127,96742
