Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,98371,-50619,-48537,30600,-639,-55469,581,-16078,-99999,5374,14753,-99999,-4603,3390,-99999,-5137,3493,-99999,8280,14762,-99999,12837,15439,-99999,5927,16301,-99999,2135,13453,-99999,829,-14477,-99999,-20285,2189,-99999,-15959,2135,-99999,-15862,1971,-99999,602,-14338,-99999,7537,16926,-99999,-99999,-99999,-99999,-99999,-99999,-99999
50,98378,-48991,-50161,30664,-214,-56933,-48183,-17581,-97511,96030,16195,-97487,-51331,2018,-97454,-51677,2123,-97454,96379,16207,-97485,95187,16902,-97478,81356,17785,-97474,97671,14877,-97493,-43504,-16007,-97506,-59925,824,-97425,-57777,766,-97426,-57698,600,-97423,-43713,-15871,-97505,81255,18429,-97469,-99998,98758,-99998,98665,-99998,98681
100,99367,-48211,-52053,30301,442,-58143,-51018,-20549,-92595,98803,19043,-92524,-55069,-691,-92426,-55335,-584,-92427,98516,19060,-92517,97296,19792,-92497,82872,20716,-92485,99146,17689,-92542,-47378,-19027,-92581,-59374,-1874,-92341,-57372,-1938,-92341,-57474,-2108,-92334,-48394,-18898,-92579,85163,21397,-92471,-99651,98758,-99663,98665,-99664,98681
150,99999,-47349,-53883,29235,1536,-58898,-53363,-23443,-87800,99999,21821,-87683,-57210,-3334,-87522,-57887,-3225,-87524,99622,21842,-87672,98560,22611,-87639,83861,23574,-87619,99999,20431,-87714,-49552,-21973,-87778,-58378,-4505,-87382,-56520,-4575,-87383,-56548,-4749,-87370,-50725,-21850,-87774,86953,24292,-87596,-98934,98508,-98963,98408,-98958,98419
200,99863,-45674,-55513,27887,2844,-59385,-55105,-26265,-83124,99729,24529,-82962,-55709,-5910,-82740,-56346,-5799,-82742,99373,24555,-82947,98167,25360,-82901,83731,26361,-82874,99833,23104,-83005,-51036,-24845,-83093,-57258,-7070,-82545,-55627,-7146,-82547,-55737,-7324,-82529,-52135,-24728,-83087,86825,27115,-82842,-98185,98120,-98221,98011,-98203,98016
250,99906,-44177,-57129,26466,4205,-59747,-56838,-29016,-78563,99870,27169,-78357,-54686,-8421,-78075,-55371,-8308,-78078,99702,27199,-78338,98818,28038,-78280,84165,29077,-78245,99956,25710,-78412,-52769,-27644,-78523,-56273,-9569,-77828,-55035,-9652,-77830,-55227,-9833,-77808,-53898,-27534,-78516,87260,29866,-78205,-97413,97853,-97459,97743,-97427,97746
300,99725,-42488,-58665,24961,5625,-60028,-58395,-31696,-74115,99624,29741,-73866,-52989,-10868,-73526,-53647,-10753,-73529,99526,29775,-73843,98603,30649,-73774,84154,31724,-73731,99783,28249,-73932,-54333,-30372,-74067,-55325,-12005,-73227,-54525,-12094,-73230,-54855,-12279,-73203,-55365,-30268,-74059,87127,32547,-73682,-96624,97599,-96679,97488,-96635,97492
350,99712,-40946,-60241,23366,7099,-60228,-60075,-34308,-69777,99814,32247,-69486,-51738,-13252,-69089,-52399,-13134,-69092,99799,32285,-69459,99088,33192,-69378,84547,34303,-69328,99871,30723,-69563,-56160,-33031,-69721,-54496,-14378,-68740,-54186,-14473,-68743,-54639,-14661,-68712,-57220,-32932,-69711,87589,35158,-69271,-95819,97350,-95881,97237,-95825,97241
400,99560,-39315,-61755,21643,8649,-60329,-61642,-36852,-65545,99656,34687,-65214,-50205,-15572,-64761,-50854,-15453,-64765,99803,34730,-65183,99238,35668,-65091,84735,36814,-65034,99777,33132,-65302,-57800,-35620,-65482,-53705,-16688,-64363,-53840,-16789,-64367,-54417,-16980,-64331,-58743,-35527,-65470,87582,37701,-64969,-94998,97102,-95065,96987,-94997,96992
450,99461,-37723,-63300,19798,10270,-60320,-63312,-39329,-61419,99810,37062,-61048,-48858,-17831,-60540,-49499,-17710,-60545,99917,37109,-61013,99385,38079,-60910,84964,39258,-60847,99774,35477,-61146,-59711,-38141,-61347,-53016,-18936,-60095,-53521,-19043,-60099,-54209,-19238,-60059,-60678,-38054,-61335,87965,40177,-60773,-94161,96854,-94231,96737,-94152,96742
