Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,98494,-51601,-47059,98375,-66450,-27692,741,-15876,-99999,2903,13312,-99999,-3694,2939,-99999,-3664,3043,-99999,4428,13291,-99999,7367,13889,-99999,8204,14828,-99999,908,12516,-99999,2452,-15444,-99999,-14003,1389,-99999,-10279,1428,-99999,-10281,1264,-99999,2011,-15294,-99999,8352,15431,-99999,-99999,-99999,-99999,-99999,-99999,-99999
50,98530,-49984,-48694,99337,-65336,-30425,-46276,-17356,-97514,95764,14733,-97494,-52804,1573,-97464,-52898,1678,-97465,96016,14711,-97493,94575,15318,-97490,94746,16273,-97486,97649,13927,-97497,-40438,-16947,-97510,-55622,23,-97445,-53894,60,-97446,-53943,-105,-97444,-40760,-16801,-97510,91385,16891,-97482,-99998,98730,-99998,98623,-99998,98639
100,99315,-48928,-50522,99949,-63972,-33036,-48911,-20281,-92603,98304,17538,-92546,-55223,-1126,-92457,-55055,-1018,-92459,97982,17516,-92543,96564,18142,-92532,96272,19129,-92522,98903,16714,-92555,-44287,-19917,-92594,-55033,-2676,-92400,-53445,-2641,-92401,-53719,-2810,-92395,-45395,-19777,-92591,95388,19774,-92509,-99665,98730,-99682,98623,-99683,98639
150,99820,-47907,-52263,99998,-62113,-35452,-51012,-23133,-87814,99389,20274,-87720,-56702,-3758,-87573,-56958,-3648,-87576,99003,20251,-87715,97829,20896,-87696,97299,21914,-87680,99624,19431,-87735,-46456,-22813,-87799,-54014,-5308,-87479,-52563,-5275,-87481,-52781,-5447,-87471,-47693,-22680,-87795,97074,22586,-87659,-98979,98481,-99021,98365,-99017,98377
200,99873,-46401,-53917,99746,-59923,-37742,-52844,-25914,-83143,99576,22941,-83012,-55959,-6324,-82810,-56260,-6211,-82814,99094,22919,-83006,97756,23581,-82980,97446,24629,-82958,99730,22080,-83033,-48176,-25636,-83122,-52928,-7874,-82680,-51707,-7843,-82683,-51982,-8018,-82668,-49390,-25510,-83116,97530,25327,-82929,-98263,98094,-98319,97966,-98305,97971
250,99998,-44956,-55570,99312,-57554,-39933,-54677,-28625,-78587,99927,25541,-78422,-55243,-8826,-78164,-55604,-8710,-78170,99559,25518,-78413,98507,26198,-78381,98052,27275,-78352,99977,24663,-78448,-49996,-28389,-78561,-51937,-10375,-77999,-51090,-10346,-78003,-51427,-10524,-77985,-51231,-28269,-78554,98293,28000,-78316,-97526,97827,-97595,97695,-97569,97699
300,99903,-43363,-57142,98727,-55029,-42045,-56356,-31267,-74144,99803,28074,-73944,-53995,-11263,-73633,-54375,-11145,-73640,99503,28051,-73934,98444,28748,-73895,98154,29854,-73860,99904,27179,-73976,-51658,-31071,-74112,-50987,-12812,-73434,-50558,-12785,-73439,-51005,-12966,-73416,-52797,-30958,-74103,98309,30604,-73816,-96770,97572,-96851,97438,-96814,97442
350,99894,-41803,-58740,98016,-52381,-44087,-58093,-33840,-69810,99998,30542,-69577,-52760,-13637,-69214,-53135,-13517,-69222,99783,30519,-69565,98921,31233,-69520,98609,32366,-69479,99999,29631,-69614,-53518,-33685,-69773,-50124,-15185,-68981,-50156,-15160,-68987,-50720,-15345,-68961,-54674,-33577,-69763,98892,33140,-69428,-95996,97320,-96089,97185,-96041,97189
400,99749,-40191,-60266,97172,-49607,-46059,-59707,-36347,-65584,99816,32946,-65318,-51365,-15949,-64904,-51742,-15826,-64913,99784,32922,-65304,99102,33652,-65252,98831,34813,-65206,99899,32018,-65360,-55220,-36230,-65541,-49305,-17496,-64639,-49753,-17473,-64645,-50429,-17661,-64615,-56247,-36129,-65530,98872,35611,-65148,-95205,97070,-95308,96933,-95250,96938
450,99658,-38587,-61825,96198,-46714,-47961,-61415,-38788,-61461,99973,35285,-61164,-49996,-18199,-60700,-50355,-18074,-60710,99930,35262,-61149,99302,36007,-61091,99137,37194,-61039,99908,34342,-61212,-57171,-38709,-61414,-48576,-19745,-60403,-49372,-19725,-60410,-50154,-19916,-60377,-58220,-38613,-61401,99373,38016,-60974,-94397,96821,-94507,96681,-94440,96686
500,99471,-36956,-63318,95083,-43699,-49784,-63002,-41165,-57441,99767,37562,-57112,-48546,-20387,-56601,-48899,-20261,-56612,99971,37539,-57096,99647,38300,-57031,99420,39512,-56974,99789,36604,-57165,-58910,-41123,-57389,-47858,-21934,-56273,-48885,-21916,-56280,-49736,-22110,-56244,-59812,-41032,-57375,99349,40357,-56902,-93573,96571,-93688,96428,-93612,96434
550,99302,-35314,-64839,93831,-40569,-51525,-64685,-43478,-53520,99878,39778,-53161,-47119,-22516,-52602,-47452,-22387,-52614,99999,39754,-53143,99637,40530,-53073,99575,41767,-53010,99716,38804,-53219,-60914,-43472,-53463,-47235,-24062,-52244,-48353,-24047,-52252,-49261,-24244,-52212,-61839,-43387,-53448,99750,42634,-52932,-92734,96322,-92849,96174,-92766,96182
600,99056,-33656,-66304,92439,-37324,-53175,-66266,-45729,-49696,99629,41932,-49307,-45624,-24584,-48702,-45948,-24453,-48715,99993,41908,-49288,99950,42699,-49211,99805,43961,-49144,99545,40944,-49369,-62687,-45758,-49634,-46594,-26130,-48315,-47656,-26118,-48324,-48568,-26318,-48281,-63464,-45678,-49617,99670,44849,-49059,-91880,96072,-91990,95919,-91901,95928
650,98806,-31969,-67778,90909,-33975,-54732,-67901,-47918,-45966,99667,44026,-45548,-44142,-26594,-44899,-44449,-26461,-44913,99941,44002,-45527,99869,44807,-45446,99856,46093,-45373,99391,43024,-45615,-64676,-47982,-45899,-46036,-28139,-44482,-46898,-28131,-44492,-47812,-28334,-44446,-65469,-47907,-45882,99962,47002,-45282,-91011,95822,-91112,95663,-91018,95674
700,98487,-30284,-69214,89245,-30524,-56186,-69482,-50048,-42328,99363,46061,-41883,-42601,-28544,-41189,-42895,-28409,-41204,99830,46037,-41860,99998,46856,-41773,99966,48165,-41695,99143,45045,-41954,-66472,-50145,-42257,-45445,-30091,-40745,-45981,-30086,-40755,-46837,-30292,-40706,-67130,-50075,-42238,99800,49094,-41598,-90127,95571,-90215,95407,-90117,95420
750,98158,-28554,-70632,87450,-26979,-57541,-71044,-52118,-38780,99308,48038,-38307,-41072,-30436,-37571,-41351,-30299,-37587,99735,48014,-38283,99966,48847,-38191,99976,50178,-38109,98915,47008,-38383,-68383,-52249,-38705,-44907,-31985,-37099,-45030,-31983,-37111,-45854,-32192,-37058,-69050,-52183,-38685,99998,51127,-38005,-89230,95321,-89299,95150,-89197,95164
800,97770,-26847,-72032,85524,-23344,-58789,-72609,-54130,-35320,98962,49957,-34820,-39487,-32269,-34043,-39753,-32131,-34059,99526,49933,-34795,99902,50780,-34697,99988,52133,-34610,98595,48914,-34900,-70162,-54294,-35240,-44330,-33822,-33544,-43966,-33823,-33556,-44701,-34035,-33500,-70714,-54233,-35219,99792,53101,-34501,-88319,95071,-88365,94892,-88260,94909
850,97367,-25091,-73389,83469,-19622,-59935,-74094,-56086,-31945,98808,51819,-31419,-37930,-34045,-30601,-38179,-33905,-30619,99400,51795,-31393,99936,52656,-31290,99992,54030,-31198,98298,50763,-31504,-71969,-56281,-31861,-43779,-35602,-30076,-42922,-35606,-30089,-43621,-35821,-30030,-72526,-56224,-31839,99913,55017,-31083,-87395,94820,-87413,94635,-87307,94653
