Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,96532,-50618,-46586,98375,-66450,-27692,741,-5967,-99999,2903,13312,-99999,-6882,2939,-99999,-3664,3043,-99999,4428,13291,-99999,7367,13889,-99999,8204,14828,-99999,908,12516,-99999,2452,-8525,-99999,-18035,1389,-99999,-14145,1428,-99999,-14119,1264,-99999,10545,-8981,-99999,7537,15431,-99999,-99999,-24467,-99999,20935,-99999,69350
50,96568,-49034,-48184,99337,-65336,-30425,-46276,-7321,-97514,95764,14733,-97494,-54367,1573,-97464,-52898,1678,-97465,96016,14711,-97493,94575,15318,-97490,94746,16273,-97486,97649,13927,-97497,-40438,-9938,-97510,-61126,23,-97445,-59288,60,-97446,-59301,-105,-97444,-28501,-10406,-97510,89945,16891,-97482,-99998,-14169,-99999,27417,-99999,78803
100,97332,-48001,-49973,99949,-63972,-33036,-48911,-9996,-92603,98304,17538,-92546,-56705,-1126,-92457,-55055,-1018,-92459,97982,17516,-92543,96564,18142,-92532,96272,19129,-92522,98903,16714,-92555,-44287,-12730,-92594,-60517,-2676,-92400,-58824,-2641,-92401,-59069,-2810,-92395,-32732,-13219,-92591,93918,19774,-92509,-99664,-14169,-99999,27417,-99999,78803
150,97823,-47001,-51675,99998,-62113,-35452,-51012,-12604,-87814,99389,20274,-87720,-58135,-3758,-87573,-56958,-3648,-87576,99003,20251,-87715,97829,20896,-87696,97299,21914,-87680,99624,19431,-87735,-46456,-15453,-87799,-59461,-5308,-87479,-57911,-5275,-87481,-58099,-5447,-87471,-34830,-15963,-87795,95591,22586,-87659,-98976,-14182,-99999,27409,-99999,78790
200,97875,-45528,-53293,99746,-59923,-37742,-52844,-15147,-83143,99576,22941,-83012,-57417,-6324,-82810,-56260,-6211,-82814,99094,22919,-83006,97756,23581,-82980,97446,24629,-82958,99730,22080,-83033,-48176,-18107,-83122,-58336,-7874,-82680,-57025,-7843,-82683,-57271,-8018,-82668,-36379,-18638,-83116,96043,25327,-82929,-98259,-14202,-99999,27396,-99999,78771
250,97997,-44113,-54910,99312,-57554,-39933,-54677,-17626,-78587,99927,25541,-78422,-56725,-8826,-78164,-55604,-8710,-78170,99559,25518,-78413,98507,26198,-78381,98052,27275,-78352,99977,24663,-78448,-49996,-20695,-78561,-57311,-10375,-77999,-56387,-10346,-78003,-56697,-10524,-77985,-38060,-21246,-78554,96801,28000,-78316,-97521,-14216,-99999,27387,-99999,78758
300,97904,-42554,-56448,98727,-55029,-42045,-56356,-20042,-74144,99803,28074,-73944,-55519,-11263,-73633,-54375,-11145,-73640,99503,28051,-73934,98444,28748,-73895,98154,29854,-73860,99904,27179,-73976,-51658,-23216,-74112,-56327,-12812,-73434,-55836,-12785,-73439,-56260,-12966,-73416,-39489,-23788,-74103,96816,30604,-73816,-96763,-14229,-99999,27378,-99999,78746
350,97895,-41027,-58011,98016,-52381,-44087,-58093,-22396,-69810,99998,30542,-69577,-54324,-13637,-69214,-53135,-13517,-69222,99783,30519,-69565,98921,31233,-69520,98609,32366,-69479,99999,29631,-69614,-53518,-25673,-69773,-55434,-15185,-68981,-55420,-15160,-68987,-55966,-15345,-68961,-41203,-26264,-69763,97395,33140,-69428,-95987,-14242,-99999,27370,-99999,78734
400,97754,-39448,-59503,97172,-49607,-46059,-59707,-24688,-65584,99816,32946,-65318,-52975,-15949,-64904,-51742,-15826,-64913,99784,32922,-65304,99102,33652,-65252,98831,34813,-65206,99899,32018,-65360,-55220,-28066,-65541,-54585,-17496,-64639,-55003,-17473,-64645,-55664,-17661,-64615,-42639,-28676,-65530,97376,35611,-65148,-95194,-14255,-99999,27362,-99999,78722
450,97666,-37879,-61028,96198,-46714,-47961,-61415,-26921,-61461,99973,35285,-61164,-51652,-18199,-60700,-50355,-18074,-60710,99930,35262,-61149,99302,36007,-61091,99137,37194,-61039,99908,34342,-61212,-57171,-30396,-61414,-53831,-19745,-60403,-54608,-19725,-60410,-55380,-19916,-60377,-44440,-31024,-61401,97873,38016,-60974,-94385,-14268,-99999,27354,-99999,78710
