Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,98372,-50631,-48537,30600,-639,-55469,581,-16078,-99999,5374,14753,-99999,-4593,3390,-99999,-5132,3493,-99999,8280,14762,-99999,12837,15439,-99999,14174,16301,-99999,2135,13453,-99999,829,-14477,-99999,-20347,2189,-99999,-15921,2135,-99999,-15846,1971,-99999,-4670,-14338,-99999,2667,16926,-99999,-99999,-99999,-99999,-99999,-99999,1670
50,98378,-49001,-50161,30664,-214,-56933,-48183,-17581,-97511,96030,16195,-97487,-51316,2018,-97454,-51669,2123,-97454,96379,16207,-97485,95187,16902,-97478,95475,17785,-97474,97671,14877,-97493,-43504,-16007,-97506,-60007,824,-97425,-57725,766,-97426,-57676,600,-97423,-21813,-15871,-97505,42299,18429,-97469,-99998,98758,-99998,98665,-99999,49361
100,99367,-48221,-52053,30301,442,-58143,-51018,-20549,-92595,98803,19043,-92524,-55054,-691,-92426,-55327,-584,-92427,98516,19060,-92517,97296,19792,-92497,97109,20716,-92485,99146,17689,-92542,-47378,-19027,-92581,-59456,-1874,-92341,-57321,-1938,-92341,-57453,-2108,-92334,-23623,-18898,-92579,44400,21397,-92471,-99650,98758,-99661,98665,-99826,49361
150,99998,-47358,-53883,29235,1536,-58898,-53363,-23443,-87800,99999,21821,-87683,-57195,-3334,-87522,-57879,-3225,-87524,99622,21842,-87672,98560,22611,-87639,98176,23574,-87619,99999,20431,-87714,-49552,-21973,-87778,-58459,-4505,-87382,-56468,-4575,-87383,-56527,-4749,-87370,-24525,-21850,-87774,45362,24292,-87596,-98932,98508,-98956,98408,-99461,49298
200,99863,-45682,-55513,27887,2844,-59385,-55105,-26265,-83124,99729,24529,-82962,-55695,-5910,-82740,-56338,-5799,-82742,99373,24555,-82947,98167,25360,-82901,98035,26361,-82874,99833,23104,-83005,-51036,-24845,-83093,-57338,-7070,-82545,-55576,-7146,-82547,-55716,-7324,-82529,-25071,-24728,-83087,45293,27115,-82842,-98181,98120,-98209,98011,-99070,49201
250,99906,-44185,-57129,26466,4205,-59747,-56838,-29016,-78563,99870,27169,-78357,-54671,-8421,-78075,-55363,-8308,-78078,99702,27199,-78338,98818,28038,-78280,98504,29077,-78245,99956,25710,-78412,-52769,-27644,-78523,-56353,-9569,-77828,-54984,-9652,-77830,-55206,-9833,-77808,-25752,-27534,-78516,45527,29866,-78205,-97408,97853,-97441,97743,-98669,49137
300,99725,-42495,-58665,24961,5625,-60028,-58395,-31696,-74115,99624,29741,-73866,-52974,-10868,-73526,-53639,-10753,-73529,99526,29775,-73843,98603,30649,-73774,98491,31724,-73731,99783,28249,-73932,-54333,-30372,-74067,-55404,-12005,-73227,-54475,-12094,-73230,-54834,-12279,-73203,-26320,-30268,-74059,45456,32547,-73682,-96618,97599,-96656,97488,-98259,49075
350,99712,-40952,-60241,23366,7099,-60228,-60075,-34308,-69777,99814,32247,-69486,-51724,-13252,-69089,-52391,-13134,-69092,99799,32285,-69459,99088,33192,-69378,98915,34303,-69328,99871,30723,-69563,-56160,-33031,-69721,-54575,-14378,-68740,-54135,-14473,-68743,-54618,-14661,-68712,-27038,-32932,-69711,45704,35158,-69271,-95811,97350,-95853,97237,-97840,49015
400,99560,-39320,-61755,21643,8649,-60329,-61642,-36852,-65545,99656,34687,-65214,-50190,-15572,-64761,-50846,-15453,-64765,99803,34730,-65183,99238,35668,-65091,99118,36814,-65034,99777,33132,-65302,-57800,-35620,-65482,-53784,-16688,-64363,-53790,-16789,-64367,-54396,-16980,-64331,-27627,-35527,-65470,45700,37701,-64969,-94988,97102,-95031,96987,-97412,48955
450,99462,-37727,-63300,19798,10270,-60320,-63312,-39329,-61419,99810,37062,-61048,-48844,-17831,-60540,-49491,-17710,-60545,99917,37109,-61013,99385,38079,-60910,99364,39258,-60847,99774,35477,-61146,-59711,-38141,-61347,-53094,-18936,-60095,-53471,-19043,-60099,-54188,-19238,-60059,-28375,-38054,-61335,45906,40177,-60773,-94150,96854,-94191,96737,-96975,48896
500,99294,-36116,-64799,17809,11973,-60179,-64905,-41741,-57394,99651,39374,-56985,-47397,-20028,-56424,-48038,-19905,-56429,99998,39425,-56946,99766,40425,-56832,99657,41638,-56762,99688,37759,-57093,-61426,-40596,-57315,-52430,-21123,-55932,-53059,-21237,-55937,-53841,-21435,-55893,-28991,-40513,-57301,45918,42587,-56681,-93297,96606,-93331,96485,-96528,48835
550,99097,-34464,-66304,15688,13749,-59900,-66548,-44088,-53468,99722,41623,-53021,-45971,-22165,-52409,-46603,-22040,-52414,99954,41678,-52979,99633,42708,-52855,99716,43952,-52778,99576,39979,-53140,-63370,-42985,-53382,-51849,-23250,-51872,-52578,-23371,-51877,-53422,-23572,-51829,-29748,-42908,-53367,46057,44931,-52690,-92428,96358,-92452,96233,-96072,48775
600,98870,-32842,-67783,13431,15600,-59461,-68165,-46372,-49640,99498,43810,-49156,-44534,-24241,-48493,-45159,-24115,-48499,99983,43869,-49110,99999,44928,-48976,99949,46203,-48893,99428,42138,-49284,-65148,-45310,-49546,-51277,-25317,-47912,-51953,-25445,-47917,-52788,-25650,-47865,-30391,-45238,-49530,46032,47211,-48797,-91545,96110,-91554,95980,-95606,48715
650,98584,-31135,-69243,11047,17519,-58862,-69760,-48593,-45906,99474,45936,-45386,-43043,-26257,-44674,-43663,-26130,-44681,99849,45998,-45337,99782,47086,-45193,99904,48392,-45104,99226,44237,-45524,-67068,-47571,-45806,-50767,-27326,-44050,-51235,-27460,-44056,-52073,-27668,-44000,-31135,-47504,-45788,46117,49428,-45001,-90646,95862,-90636,95725,-95131,48654
700,98273,-29483,-70690,8542,19501,-58088,-71378,-50754,-42264,99167,48002,-41709,-41572,-28215,-40950,-42182,-28086,-40956,99749,48068,-41657,99945,49183,-41503,99999,50519,-41408,98982,46276,-41856,-68873,-49771,-42157,-50250,-29276,-40283,-50370,-29418,-40289,-51137,-29629,-40230,-31793,-49709,-42138,46038,51582,-41298,-89734,95613,-89699,95471,-94646,48593
750,97916,-27739,-72100,5918,21543,-57139,-72917,-52854,-38712,99055,50009,-38123,-40039,-30113,-37317,-40648,-29983,-37324,99596,50078,-38068,99813,51221,-37904,99943,52585,-37803,98717,48257,-38279,-70731,-51910,-38599,-49774,-31169,-36609,-49452,-31317,-36616,-50181,-31532,-36553,-32510,-51852,-38579,46091,53674,-37687,-88808,95363,-88744,95215,-94152,48532
800,97524,-26055,-73502,3179,23641,-56012,-74497,-54896,-35248,98692,51957,-34626,-38520,-31953,-33774,-39121,-31821,-33781,99378,52030,-34567,99751,53199,-34394,99923,54591,-34288,98387,50180,-34791,-72497,-53990,-35128,-49265,-33005,-33026,-48417,-33160,-33033,-49050,-33378,-32966,-33157,-53936,-35107,45983,55706,-34165,-87868,95114,-87769,94959,-93650,48471
850,97109,-24297,-74860,322,25795,-54707,-75982,-56879,-31869,98503,53848,-31215,-36973,-33735,-30318,-37569,-33601,-30326,99235,53925,-31153,99754,55119,-30971,99908,56538,-30859,98077,52046,-31388,-74277,-56011,-31743,-48788,-34786,-29532,-47408,-34946,-29539,-47993,-35167,-29469,-33845,-55961,-31721,46021,57678,-30730,-86916,94865,-86777,94703,-93138,48410
900,96654,-22588,-76201,-2654,28002,-53232,-77479,-58806,-28574,98132,55682,-27888,-35414,-35458,-26948,-36010,-35323,-26956,98968,55762,-27823,99581,56981,-27632,99860,58426,-27515,97698,53856,-28070,-75933,-57975,-28442,-48240,-36510,-26123,-46318,-36675,-26131,-46822,-36899,-26057,-34452,-57929,-28419,45927,59591,-27379,-85951,94615,-85769,94446,-92618,48349
950,96185,-20833,-77503,-5755,30266,-51589,-78911,-60678,-25360,97871,57460,-24643,-33870,-37123,-23661,-34453,-36987,-23670,98818,57544,-24576,99652,58787,-24376,99874,60258,-24253,97343,55611,-24833,-77626,-59882,-25222,-47725,-38179,-22799,-45330,-38348,-22807,-45809,-38575,-22730,-35109,-59839,-25198,45952,61446,-24112,-84975,94366,-84744,94190,-92091,48288
1000,95682,-19108,-78772,-8988,32588,-49794,-80293,-62494,-22225,97524,59182,-21478,-32284,-38730,-20455,-32877,-38592,-20464,98563,59270,-21408,99496,60538,-21200,99866,62033,-21072,96943,57311,-21676,-79125,-61734,-22082,-47099,-39794,-19557,-44280,-39965,-19565,-44720,-40195,-19485,-35657,-61695,-22056,45899,63244,-20925,-83987,94117,-83705,93934,-91556,48227
1050,95151,-17355,-80011,-12353,34969,-47852,-81662,-64257,-19168,97185,60851,-18392,-30740,-40278,-17328,-31309,-40139,-17338,98364,60942,-18319,99528,62233,-18103,99857,63752,-17970,96528,58958,-18598,-80717,-63531,-19019,-46507,-41355,-16395,-43366,-41526,-16404,-43821,-41759,-16320,-36277,-63496,-18993,45896,64985,-17816,-82990,93869,-82652,93679,-91014,48166
1100,94598,-15619,-81204,-15857,37410,-45781,-82924,-65967,-16187,96853,62465,-15382,-29130,-41767,-14279,-29721,-41628,-14289,98118,62560,-15306,99418,63874,-15082,99873,65417,-14944,96104,60551,-15595,-82056,-65275,-16032,-45776,-42861,-13311,-42385,-43033,-13320,-42842,-43268,-13234,-36767,-65243,-16004,45872,66671,-14785,-81984,93621,-81586,93425,-90466,48105
1150,93985,-13854,-82372,-19493,39909,-43593,-84210,-67626,-13279,96413,64027,-12446,-27564,-43198,-11305,-28121,-43057,-11315,97819,64125,-12367,99319,65462,-12136,99765,67028,-11993,95602,62092,-12666,-83524,-66967,-13118,-45066,-44314,-10303,-41516,-44484,-10313,-42024,-44722,-10223,-37336,-66937,-13090,45812,68303,-11828,-80969,93373,-80510,93171,-89913,48045
1200,93359,-12100,-83489,-23257,42464,-41302,-85365,-69233,-10442,96048,65536,-9582,-25913,-44568,-8404,-26502,-44426,-8414,97512,65639,-9501,99161,66998,-9262,99698,68586,-9115,95112,63581,-9810,-84736,-68607,-10277,-44216,-45712,-7370,-40555,-45880,-7379,-41086,-46121,-7287,-37783,-68580,-10248,45765,69880,-8945,-79947,93126,-79423,92918,-89355,47984
1250,92641,-10301,-84581,-27133,45067,-38925,-86552,-70790,-7676,95468,66994,-6790,-24294,-45878,-5575,-24841,-45735,-5585,97060,67100,-6706,98868,68482,-6459,99407,70091,-6307,94488,65019,-7024,-86066,-70197,-7505,-43355,-47057,-4509,-39635,-47221,-4519,-40233,-47466,-4423,-38294,-70173,-7476,45609,71404,-6132,-78918,92880,-78328,92667,-88793,47924
1300,91909,-8511,-85626,-31102,47709,-36472,-87621,-72299,-4978,94997,68400,-4066,-22568,-47125,-2816,-23154,-46982,-2826,96588,68511,-3980,98506,69914,-3726,99115,71545,-3569,93873,66406,-4307,-87194,-71737,-4803,-42372,-48347,-1718,-38592,-48507,-1728,-39201,-48756,-1630,-38714,-71715,-4772,45471,72876,-3389,-77883,92635,-77224,92416,-88227,47864
1350,91063,-6659,-86638,-35140,50379,-33960,-88705,-73759,-2347,94238,69757,-1409,-20867,-48310,-124,-21405,-48165,-136,95932,69872,-1321,97966,71296,-1060,98563,72947,-899,93091,67743,-1658,-88392,-73228,-2166,-41343,-49583,1003,-37507,-49738,993,-38171,-49990,1094,-39167,-73208,-2135,45178,74295,-714,-76843,92391,-76114,92167,-87657,47805
1400,90194,-4811,-87615,-39216,53060,-31395,-89701,-75172,219,93593,71063,1182,-19030,-49428,2500,-19613,-49283,2489,95212,71182,1272,97283,72627,1540,97933,74298,1705,92301,69031,927,-89464,-74672,405,-40214,-50762,3658,-36275,-50911,3647,-36916,-51168,3750,-39572,-74654,437,44890,75663,1895,-75799,92147,-74998,91918,-87085,47745
1450,89207,-2899,-88551,-43297,55737,-28791,-90694,-76538,2722,92627,72320,3709,-17225,-50479,5060,-17756,-50333,5048,94314,72443,3802,96448,73909,4076,97065,75598,4245,91338,70270,3447,-90555,-76068,2912,-39010,-51885,6246,-34946,-52027,6235,-35609,-52289,6341,-39978,-76052,2945,44436,76980,4440,-74751,91905,-73877,91671,-86510,47686
1500,88186,-976,-89461,-47347,58390,-26151,-91619,-77859,5163,91766,73528,6173,-15254,-51460,7557,-15833,-51313,7545,93315,73655,6268,95416,75140,6549,96060,76848,6723,90347,71461,5906,-91573,-77418,5358,-37720,-52951,8771,-33463,-53084,8760,-34066,-53350,8869,-40367,-77404,5392,43973,78246,6922,-73700,91663,-72751,91425,-85933,47628
1550,87059,992,-90324,-51334,61005,-23484,-92536,-79134,7544,90595,74686,8577,-13336,-52366,9992,-13858,-52218,9980,92167,74818,8674,94264,76323,8962,94869,78048,9139,89201,72603,8303,-92584,-78722,7743,-36346,-53956,11234,-31877,-54079,11222,-32466,-54350,11333,-40740,-78710,7778,43357,79461,9343,-72646,91422,-71621,91180,-85354,47569
1600,85890,2990,-91166,-55224,63560,-20795,-93385,-80366,9866,89513,75797,10921,-11228,-53193,12367,-11805,-53045,12354,90915,75932,11021,92937,77456,11314,93529,79198,11495,88018,73697,10642,-93532,-79982,10070,-34884,-54900,13636,-30154,-55010,13624,-30662,-55286,13737,-41104,-79971,10105,42727,80625,11704,-71591,91183,-70488,90937,-84774,47511
1650,84640,5002,-91961,-58989,66043,-18086,-94234,-81554,12131,88173,76859,13208,-9195,-53937,14683,-9710,-53788,14670,89549,76997,13309,91498,78539,13609,92070,80298,13794,86714,74743,12923,-94473,-81199,12338,-33343,-55780,15978,-28367,-55873,15966,-28839,-56155,16082,-41450,-81188,12375,41979,81739,14006,-70534,90944,-69352,90694,-84193,47453
1700,83343,7060,-92731,-62603,68437,-15365,-94998,-82700,14340,86899,77873,15438,-6972,-54590,16942,-7544,-54441,16929,88103,78015,15541,89969,79574,15847,90481,81348,16035,85370,75742,15147,-95324,-82372,14551,-31708,-56593,18263,-26477,-56665,18250,-26874,-56954,18368,-41779,-82362,14588,41217,82802,16252,-69477,90707,-68214,90452,-83611,47395
1750,81998,9101,-93457,-66050,70732,-12636,-95770,-83804,16494,85444,78839,17613,-4823,-55145,19146,-5331,-54996,19132,86587,78983,17718,88331,80559,18030,88849,82347,18221,83952,76693,17317,-96176,-83503,16710,-30002,-57334,20491,-24577,-57383,20478,-24944,-57677,20599,-42093,-83494,16747,40386,83815,18442,-68420,90470,-67075,90212,-83028,47338
1800,80600,11196,-94152,-69312,72916,-9905,-96442,-84866,18595,84025,79758,19734,-2506,-55593,21295,-3072,-55443,21281,85011,79904,19841,86680,81495,20158,87108,83297,20354,82490,77597,19432,-96904,-84592,18815,-28200,-58000,22664,-22618,-58021,22651,-22940,-58322,22774,-42376,-84584,18853,39537,84777,20579,-67363,90235,-65935,89973,-82445,47280
1850,79184,13256,-94804,-72384,74982,-7181,-97115,-85888,20644,82518,80628,21803,-239,-55922,23390,-742,-55773,23377,83422,80777,21912,84953,82382,22235,85406,84197,22433,81002,78454,21496,-97628,-85640,20868,-26330,-58586,24783,-20685,-58574,24771,-21005,-58883,24895,-42645,-85633,20907,38672,85689,22662,-66307,90000,-64796,89735,-81862,47224
1900,77711,15364,-95421,-75257,76923,-4474,-97684,-86871,22643,81002,81452,23821,2166,-56119,25435,1611,-55970,25420,81768,81601,23932,83232,83220,24260,83587,85047,24461,79461,79265,23509,-98210,-86648,22870,-24375,-59083,26851,-18727,-59036,26838,-19042,-59354,26964,-42873,-86641,22910,37776,86550,24694,-65253,89767,-63658,89498,-81280,47167
1950,76240,17441,-95991,-77932,78733,-1796,-98233,-87814,24592,79487,82228,25789,4570,-56167,27428,4072,-56018,27414,80159,82378,25901,81497,84008,26235,81881,85847,26440,77934,80028,25472,-98766,-87616,24823,-22345,-59485,28867,-16791,-59400,28853,-17136,-59729,28982,-43082,-87609,24863,36909,87361,26676,-64201,89535,-62522,89264,-80699,47111
2000,74708,19553,-96525,-80405,80405,841,-98687,-88718,26493,77913,82957,27708,7092,-56045,29373,6553,-55896,29358,78461,83107,27823,79734,84748,28161,80029,86597,28369,76340,80745,27386,-99179,-88544,26727,-20250,-59782,30833,-14834,-59659,30820,-15208,-60000,30950,-43247,-88538,26768,35993,88121,28609,-63153,89305,-61390,89030,-80121,47055
2050,73185,21652,-97010,-82677,81931,3422,-99094,-89584,28348,76411,83638,29580,9678,-55726,31269,9187,-55578,31254,76846,83788,29696,78009,85439,30039,78330,87297,30251,74786,81416,29254,-99544,-89434,28585,-18073,-59962,32751,-12856,-59800,32737,-13279,-60159,32870,-43387,-89428,28627,35128,88830,30494,-62109,89076,-60262,88799,-79544,47000
2100,71597,23780,-97460,-84747,83303,5932,-99419,-90413,30156,74804,84273,31406,12392,-55179,33119,11873,-55031,33104,75123,84421,31524,76220,86080,31872,76461,87947,32086,73151,82040,31075,-99775,-90285,30397,-15848,-60012,34621,-10830,-59814,34607,-11292,-60193,34742,-43481,-90279,30439,34202,89489,32333,-61070,88848,-59141,88570,-78971,46945
2150,70017,25916,-97858,-86612,84505,8358,-99677,-91204,31920,73321,84861,33187,15246,-54360,34922,14769,-54213,34907,73484,85006,33306,74474,86672,33659,74738,88547,33876,71562,82617,32851,-99950,-91098,32164,-13538,-59914,36446,-8713,-59683,36432,-9215,-60089,36568,-43554,-91092,32207,33327,90097,34126,-60037,88623,-58027,88342,-78401,46890
2200,68370,28086,-98225,-88268,85522,10687,-99860,-91958,33640,71700,85402,34923,18283,-53217,36682,17794,-53069,36666,71744,85543,35044,72669,87215,35402,72851,89096,35621,69891,83148,34583,-99998,-91874,33887,-11191,-59647,38225,-6499,-59389,38211,-7021,-59827,38349,-43576,-91867,33930,32391,90654,35875,-59010,88399,-56921,88117,-77835,46836
2250,66722,30289,-98542,-89707,86332,12909,-99967,-92676,35318,70238,85896,36617,21561,-51677,38398,21111,-51529,38382,70063,86032,36740,70861,87708,37101,71071,89594,37324,68261,83632,36273,-99999,-92612,35568,-8761,-59187,39960,-4123,-58906,39946,-4645,-59385,40085,-43586,-92605,35612,31488,91160,37581,-57991,88176,-55825,87895,-77275,46783
2300,65012,32542,-98831,-90925,86907,15017,-99999,-93359,36954,68636,86344,38269,25137,-49648,40071,24691,-49499,40055,68317,86473,38393,69047,88150,38759,69166,90041,38985,66560,84070,37921,-99881,-93313,37207,-6290,-58502,41653,-1597,-58204,41638,-2097,-58732,41779,-43543,-93306,37252,30541,91614,39245,-56981,87956,-54739,87674,-76720,46730
2350,63293,34855,-99073,-91909,87213,17007,-99949,-94005,38550,67224,86744,39881,29106,-47007,41703,28703,-46856,41688,66601,86866,40006,67177,88542,40376,67324,90436,40604,64896,84461,39528,-99732,-93977,38806,-3738,-57554,43303,1144,-57242,43288,702,-57829,43432,-43497,-93970,38851,29607,92015,40867,-55980,87738,-53666,87456,-76170,46678
2400,61519,37250,-99294,-92655,87206,18881,-99815,-94616,40107,65705,87099,41452,33580,-43592,43295,33205,-43434,43279,64875,87209,41579,65368,88884,41953,65421,90780,42184,63187,84804,41096,-99475,-94605,40366,-1130,-56297,44913,4073,-55968,44898,3705,-56626,45043,-43400,-94598,40411,28657,92365,42450,-54989,87522,-52605,87241,-75627,46626
2450,59731,39746,-99473,-93152,86833,20643,-99582,-95192,41625,64423,87407,42985,38714,-39186,44848,38395,-39018,44832,63175,87504,43113,63492,89174,43491,63561,91070,43724,61522,85101,42624,-99192,-95197,41887,1571,-54671,46483,7251,-54318,46468,6999,-55061,46614,-43301,-95189,41932,27709,92660,43993,-54010,87308,-51558,87028,-75091,46575
2500,57899,42377,-99636,-93393,86024,22305,-99247,-95733,43105,63114,87669,44479,44707,-33514,46362,44449,-33327,46346,61529,87749,44609,61726,89412,44991,61709,91308,45227,59854,85350,44115,-98822,-95753,43370,4356,-52606,48015,10637,-52210,47999,10505,-53052,48147,-43160,-95745,43416,26781,92903,45498,-53043,87097,-50525,86818,-74562,46525
2550,56051,45174,-99761,-93373,84695,23878,-98774,-96239,44549,62115,87887,45937,51784,-26242,47839,51618,-26023,47823,59941,87946,46068,59946,89599,46454,59919,91492,46692,58254,85552,45570,-98408,-96274,44817,7271,-50015,49508,14301,-49539,49493,14326,-50499,49642,-43006,-96265,44863,25857,93091,46967,-52089,86888,-49506,86610,-74041,46475
2600,54172,48172,-99874,-93090,82743,25381,-98160,-96710,45958,61216,88062,47359,60181,-17031,49280,60130,-16762,49263,58473,88094,47491,58295,89733,47881,58200,91623,48122,56704,85707,46988,-97932,-96759,46228,10319,-46790,50965,18195,-46180,50949,18368,-47275,51100,-42822,-96750,46275,24990,93225,48399,-51150,86682,-48504,86405,-73527,46426
2650,52283,51381,-99948,-92543,80052,26829,-97368,-97145,47331,60696,88195,48746,69921,-5680,50685,70029,-5342,50668,57116,88195,48879,56722,89816,49273,56580,91701,49516,55255,85815,48371,-97376,-97210,47604,13557,-42805,52386,22410,-41977,52370,22767,-43228,52522,-42605,-97200,47651,24140,93305,49795,-50227,86479,-47517,86202,-73022,46377
2700,50397,54732,-99999,-91745,76523,28230,-96433,-97545,48671,60347,88288,50099,80553,7588,52055,80864,8009,52038,55926,88248,50233,55280,89848,50630,55085,91726,50875,53895,85877,49720,-96781,-97625,48946,16983,-37919,53771,26889,-36755,53755,27422,-38178,53909,-42373,-97615,48994,23379,93331,51157,-49322,86280,-46547,86002,-72525,46329
2750,48548,58008,-99993,-90727,72130,29576,-95421,-97909,49977,60195,88345,51418,90540,21830,53391,91090,22327,53374,54828,88254,51553,53976,89829,51954,53705,91698,52201,52610,85893,51036,-96078,-98006,50255,20628,-31984,55123,31720,-30330,55107,32491,-31932,55262,-42090,-97995,50303,22642,93304,52486,-48437,86085,-45595,85805,-72037,46282
