Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 25   A I-branch,SBUS B 25   B I-branch,SBUS C 25   C I-branch,TACS   PV001A I-branch,TACS   PV001X I-branch,TACS   PV001I I-branch,TACS   PV002A I-branch,TACS   PV002X I-branch,TACS   PV002I I-branch,TACS   PV003A I-branch,TACS   PV003X I-branch,TACS   PV003I I-branch,TACS   PV004A I-branch,TACS   PV004X I-branch,TACS   PV004I I-branch,TACS   PV005A I-branch,TACS   PV005X I-branch,TACS   PV005I I-branch,TACS   PV006A I-branch,TACS   PV006X I-branch,TACS   PV006I I-branch,TACS   PV007A I-branch,TACS   PV007X I-branch,TACS   PV007I I-branch,TACS   PV008A I-branch,TACS   PV008X I-branch,TACS   PV008I I-branch,TACS   PV009A I-branch,TACS   PV009X I-branch,TACS   PV009I I-branch,TACS   PV010A I-branch,TACS   PV010X I-branch,TACS   PV010I I-branch,TACS   PV011A I-branch,TACS   PV011X I-branch,TACS   PV011I I-branch,TACS   PV012A I-branch,TACS   PV012X I-branch,TACS   PV012I I-branch,TACS   PV013A I-branch,TACS   PV013X I-branch,TACS   PV013I I-branch,TACS   PV014A I-branch,TACS   PV014X I-branch,TACS   PV014I I-branch,TACS   PV001V I-branch,TACS   PV001W I-branch,TACS   PV009V I-branch,TACS   PV009W I-branch,TACS   PV013V I-branch,TACS   PV013W I-branch
0,98494,-51575,-47086,98274,-67716,-23197,574,-3720,-99999,2851,929,-99999,-3388,3265,-99999,-3377,3086,-99999,4426,957,-99999,7365,1473,-99999,8202,2212,-99999,905,392,-99999,17,-6041,-99999,-6512,3330,-99999,-2739,3185,-99999,-2738,3222,-99999,58,-6479,-99999,8351,2904,-99999,-99999,-99999,-99999,-99999,-99999,-99999
50,98530,-49958,-48720,99296,-66644,-26182,-46364,-5005,-97530,95674,2194,-97529,-52354,1987,-97528,-52475,1811,-97528,96016,2222,-97529,94575,2745,-97528,94746,3493,-97528,97649,1651,-97529,-41348,-7355,-97527,-45396,2052,-97528,-43372,1909,-97528,-43414,1945,-97528,-41385,-7799,-97526,91385,4194,-97527,-99998,98705,-99998,98563,-99998,98584
100,99315,-48902,-50547,99946,-65331,-29035,-48996,-7543,-92651,98214,4693,-92648,-54765,-536,-92646,-54626,-708,-92646,97982,4722,-92648,96564,5256,-92647,96272,6022,-92646,98903,4137,-92649,-45060,-9950,-92642,-44847,-473,-92645,-42954,-612,-92645,-43205,-578,-92645,-45876,-10405,-92641,95388,6741,-92643,-99665,98705,-99706,98563,-99705,98584
150,99820,-47882,-52287,99998,-63543,-31674,-51093,-10018,-87893,99299,7129,-87888,-56240,-2997,-87885,-56523,-3165,-87885,99003,7159,-87888,97829,7706,-87887,97299,8490,-87885,99624,6562,-87890,-47153,-12481,-87878,-43894,-2935,-87883,-42132,-3071,-87884,-42331,-3037,-87883,-48102,-12946,-87875,97074,9226,-87880,-98979,98456,-99093,98305,-99086,98321
200,99873,-46377,-53941,99730,-61436,-34176,-52922,-12432,-83252,99485,9505,-83246,-55500,-5396,-83241,-55828,-5560,-83242,99094,9536,-83246,97756,10094,-83244,97446,10895,-83241,99730,8926,-83248,-48811,-14948,-83232,-42879,-5336,-83239,-41335,-5469,-83239,-41587,-5436,-83239,-49747,-15424,-83228,97529,11648,-83235,-98264,98069,-98442,97907,-98423,97916
250,99998,-44932,-55593,99269,-59156,-36570,-54752,-14784,-78726,99836,11821,-78718,-54786,-7735,-78712,-55173,-7894,-78713,99559,11852,-78718,98507,12422,-78716,98052,13240,-78712,99977,11230,-78720,-50567,-17353,-78700,-41954,-7676,-78710,-40760,-7805,-78710,-41069,-7773,-78709,-51531,-17839,-78696,98293,14009,-78704,-97527,97802,-97772,97636,-97739,97644
300,99903,-43341,-57164,98648,-56726,-38877,-56428,-17077,-74312,99712,14077,-74302,-53542,-10014,-74295,-53948,-10169,-74296,99503,14109,-74302,98444,14691,-74299,98154,15524,-74294,99904,13475,-74305,-52170,-19697,-74281,-41066,-9956,-74292,-40264,-10082,-74292,-40676,-10051,-74291,-53048,-20193,-74275,98309,16310,-74285,-96771,97547,-97083,97379,-97036,97387
350,99894,-41781,-58761,97894,-54178,-41108,-58163,-19311,-70006,99908,16276,-69995,-52310,-12233,-69987,-52711,-12385,-69988,99783,16308,-69995,98921,16900,-69992,98609,17750,-69986,99999,15662,-69998,-53964,-21981,-69970,-40260,-12176,-69983,-39890,-12300,-69983,-40411,-12270,-69983,-54867,-22486,-69963,98892,18551,-69975,-95997,97296,-96377,97126,-96317,97134
400,99749,-40169,-60286,96997,-51509,-43263,-59773,-21486,-65807,99725,18416,-65794,-50919,-14394,-65785,-51322,-14543,-65786,99784,18450,-65794,99102,19052,-65790,98831,19917,-65784,99899,17792,-65798,-55605,-24206,-65766,-39494,-14338,-65781,-39514,-14459,-65781,-40140,-14430,-65780,-56391,-24720,-65758,98872,20734,-65772,-95206,97046,-95653,96874,-95581,96883
450,99658,-38567,-61844,95963,-48725,-45340,-61479,-23605,-61712,99882,20500,-61697,-49555,-16498,-61687,-49938,-16643,-61688,99930,20534,-61697,99302,21147,-61693,99137,22027,-61686,99908,19866,-61701,-57486,-26372,-61665,-38813,-16443,-61682,-39159,-16561,-61683,-39884,-16533,-61682,-58302,-26895,-61657,99373,22859,-61672,-94398,96796,-94911,96621,-94828,96631
