Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86606,-13,-86595,17937,-10698,-10355,2136,-8262,6884,-99999,-99999,-99999,-99999,-99999,98937,-99999,-99999,98937,-99999,-99999,-99999,-99999,-99999,98937
50,85648,1872,-87522,17913,-10443,-10600,2136,-8262,6884,-99983,-97525,62499,90803,-98222,98937,90803,-97777,98937,-99983,-97529,62499,90803,-98222,98937
100,84660,3756,-88418,17880,-10187,-10836,2136,-8262,6884,-99650,-92638,62499,90823,-94710,98929,90823,-93388,98929,-99650,-92649,62499,90823,-94710,98929
150,83643,5639,-89284,17830,-9930,-11058,2136,-8262,6884,-98947,-87871,62307,90907,-91287,98923,90907,-89109,98923,-98947,-87889,62307,90907,-91287,98923
200,82595,7520,-90117,17768,-9673,-11268,2136,-8262,6884,-98235,-83222,62013,91029,-87949,98924,91029,-84937,98924,-98235,-83247,62013,91029,-87950,98924
250,81518,9398,-90918,17699,-9416,-11471,2136,-8262,6884,-97531,-78687,61820,91171,-84697,98925,91171,-80872,98925,-97531,-78720,61820,91171,-84697,98925
300,80412,11273,-91687,17625,-9159,-11670,2136,-8262,6884,-96853,-74265,61645,91315,-81527,98927,91315,-76910,98927,-96853,-74304,61645,91315,-81528,98927
350,79277,13144,-92423,17546,-8902,-11863,2136,-8262,6884,-96206,-69952,61478,91458,-78439,98930,91458,-73049,98930,-96206,-69997,61478,91458,-78439,98930
400,78114,15010,-93126,17462,-8645,-12051,2136,-8262,6884,-95589,-65745,61318,91599,-75429,98934,91599,-69287,98934,-95589,-65797,61318,91599,-75430,98934
450,76924,16871,-93796,17373,-8389,-12234,2136,-8262,6884,-95002,-61642,61162,91738,-72496,98939,91738,-65621,98939,-95002,-61700,61162,91738,-72497,98939
500,75706,18726,-94433,17278,-8133,-12411,2136,-8262,6884,-94444,-57640,61011,91874,-69638,98944,91874,-62049,98944,-94444,-57705,61011,91874,-69639,98944
550,74461,20574,-95037,17179,-7878,-12583,2136,-8262,6884,-93917,-53738,60865,92008,-66854,98951,92008,-58568,98951,-93917,-53808,60865,92008,-66855,98951
600,73189,22415,-95606,17073,-7623,-12748,2136,-8262,6884,-93419,-49931,60724,92140,-64140,98958,92140,-55176,98958,-93419,-50007,60724,92140,-64141,98958
650,71892,24248,-96142,16963,-7370,-12907,2136,-8262,6884,-92950,-46219,60587,92270,-61496,98966,92270,-51871,98966,-92950,-46301,60587,92270,-61497,98966
700,70569,26072,-96643,16848,-7117,-13061,2136,-8262,6884,-92511,-42598,60456,92398,-58919,98975,92398,-48651,98975,-92511,-42685,60456,92398,-58920,98975
750,69221,27887,-97111,16727,-6866,-13208,2136,-8262,6884,-92101,-39067,60330,92524,-56409,98984,92524,-45513,98984,-92101,-39159,60330,92524,-56410,98984
800,67849,29692,-97543,16602,-6615,-13349,2136,-8262,6884,-91720,-35623,60210,92649,-53963,98993,92649,-42455,98993,-91720,-35720,60210,92649,-53964,98993
850,66452,31487,-97941,16472,-6367,-13484,2136,-8262,6884,-91369,-32264,60096,92772,-51579,99004,92772,-39475,99004,-91369,-32366,60096,92772,-51580,99004
900,65032,33270,-98304,16338,-6120,-13614,2136,-8262,6884,-91046,-28987,59988,92894,-49257,99015,92894,-36572,99015,-91046,-29095,59988,92894,-49258,99015
