Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86606,-13,-86596,99999,-25032,-63050,13677,-21958,9530,-99999,-99999,-99999,-99999,-99999,91694,-99999,-99999,91694,-99999,-99999,-99999,-99999,-99999,91694
50,85648,1872,-87523,99815,-23031,-64637,13677,-21958,9530,-99983,-97036,62516,91853,-99275,91694,91853,-97777,91694,-99983,-97530,62516,91853,-98222,91694
100,84660,3756,-88419,99575,-21022,-66183,13677,-21958,9530,-99647,-91182,62516,91873,-97844,91671,91873,-93388,91671,-99647,-92653,62516,91873,-94710,91671
150,83643,5639,-89284,99249,-19005,-67666,13677,-21958,9530,-98939,-85472,62325,91950,-96449,91651,91950,-89109,91651,-98939,-87896,62325,91950,-91287,91651
200,82595,7520,-90117,98851,-16981,-69096,13677,-21958,9530,-98222,-79903,62031,92053,-95089,91656,92053,-84937,91656,-98222,-83257,62031,92053,-87949,91656
250,81518,9398,-90918,98408,-14953,-70493,13677,-21958,9530,-97513,-74472,61838,92167,-93764,91662,92167,-80870,91662,-97513,-78732,61838,92167,-84696,91662
300,80412,11273,-91687,97926,-12922,-71861,13677,-21958,9530,-96832,-69175,61663,92283,-92472,91670,92283,-76907,91670,-96832,-74319,61663,92283,-81525,91670
350,79277,13144,-92423,97407,-10890,-73199,13677,-21958,9530,-96180,-64009,61496,92397,-91212,91679,92397,-73044,91679,-96180,-70015,61496,92397,-78435,91679
400,78114,15010,-93127,96851,-8857,-74506,13677,-21958,9530,-95559,-58970,61336,92510,-89985,91689,92510,-69279,91689,-95559,-65817,61336,92510,-75423,91689
450,76923,16871,-93797,96256,-6825,-75782,13677,-21958,9530,-94969,-54056,61181,92621,-88789,91702,92621,-65610,91702,-94969,-61723,61181,92621,-72488,91702
500,75705,18725,-94434,95622,-4792,-77025,13677,-21958,9530,-94408,-49263,61030,92731,-87623,91716,92731,-62034,91716,-94408,-57730,61030,92731,-69627,91716
550,74460,20574,-95037,94949,-2762,-78236,13677,-21958,9530,-93877,-44589,60884,92840,-86487,91731,92840,-58549,91731,-93877,-53835,60884,92840,-66839,91731
600,73189,22414,-95607,94237,-733,-79412,13677,-21958,9530,-93376,-40030,60743,92948,-85380,91748,92948,-55152,91748,-93376,-50037,60743,92948,-64121,91748
650,71892,24247,-96142,93486,1293,-80555,13677,-21958,9530,-92905,-35583,60606,93054,-84301,91766,93054,-51841,91766,-92905,-46332,60606,93054,-61473,91766
700,70569,26072,-96644,92697,3315,-81662,13677,-21958,9530,-92464,-31246,60475,93159,-83249,91784,93159,-48615,91784,-92464,-42719,60475,93159,-58892,91784
750,69221,27887,-97111,91871,5332,-82735,13677,-21958,9530,-92052,-27016,60349,93263,-82224,91804,93263,-45471,91804,-92052,-39195,60349,93263,-56376,91804
800,67848,29692,-97543,91009,7343,-83772,13677,-21958,9530,-91670,-22891,60229,93366,-81225,91825,93366,-42406,91825,-91670,-35758,60229,93366,-53925,91825
850,66452,31486,-97941,90111,9347,-84775,13677,-21958,9530,-91316,-18868,60115,93468,-80251,91847,93468,-39420,91847,-91316,-32406,60115,93468,-51536,91847
900,65031,33270,-98304,89180,11343,-85742,13677,-21958,9530,-90992,-14944,60007,93569,-79303,91869,93569,-36510,91869,-90992,-29137,60007,93569,-49208,91869
950,63588,35041,-98633,88216,13329,-86675,13677,-21958,9530,-90697,-11117,59906,93669,-78378,91892,93669,-33674,91892,-90697,-25949,59906,93669,-46939,91892
1000,62122,36800,-98926,87221,15305,-87574,13677,-21958,9530,-90430,-7384,59813,93768,-77477,91916,93768,-30910,91916,-90430,-22839,59813,93768,-44728,91916
1050,60634,38546,-99184,86198,17269,-88438,13677,-21958,9530,-90191,-3743,59727,93865,-76599,91940,93865,-28217,91940,-90191,-19806,59727,93865,-42573,91940
1100,59124,40279,-99407,85146,19221,-89269,13677,-21958,9530,-89981,-193,59650,93962,-75744,91966,93962,-25592,91966,-89981,-16848,59650,93962,-40474,91966
1150,57594,41997,-99594,84068,21159,-90066,13677,-21958,9530,-89799,3270,59582,94058,-74910,91991,94058,-23034,91991,-89799,-13962,59582,94058,-38427,91991
1200,56043,43700,-99746,82966,23082,-90831,13677,-21958,9530,-89645,6648,59524,94153,-74098,92018,94153,-20542,92018,-89645,-11149,59524,94153,-36434,92018
1250,54472,45388,-99863,81840,24990,-91563,13677,-21958,9530,-89518,9942,59477,94246,-73306,92045,94246,-18114,92045,-89518,-8404,59477,94246,-34491,92045
1300,52881,47059,-99944,80693,26881,-92263,13677,-21958,9530,-89418,13154,59441,94339,-72534,92072,94339,-15747,92072,-89418,-5728,59441,94339,-32597,92072
1350,51272,48714,-99989,79525,28755,-92931,13677,-21958,9530,-89345,16288,59417,94431,-71783,92101,94431,-13441,92101,-89345,-3117,59417,94431,-30753,92101
1400,49645,50351,-99999,78338,30612,-93568,13677,-21958,9530,-89299,19344,59408,94521,-71050,92130,94521,-11194,92130,-89299,-571,59408,94521,-28955,92130
1450,48000,51971,-99974,77133,32451,-94175,13677,-21958,9530,-89279,22324,59414,94611,-70336,92159,94611,-9004,92159,-89279,1912,59414,94611,-27203,92159
1500,46337,53572,-99913,75911,34271,-94751,13677,-21958,9530,-89284,25231,59436,94699,-69641,92189,94699,-6871,92189,-89284,4334,59436,94699,-25497,92189
1550,44659,55154,-99817,74671,36071,-95297,13677,-21958,9530,-89315,28067,59477,94787,-68963,92220,94787,-4792,92220,-89315,6696,59477,94787,-23833,92220
1600,42964,56716,-99685,73417,37853,-95813,13677,-21958,9530,-89370,30832,59538,94873,-68303,92250,94873,-2766,92250,-89370,9000,59538,94873,-22213,92250
1650,41255,58259,-99517,72146,39614,-96299,13677,-21958,9530,-89450,33529,59622,94959,-67660,92282,94959,-793,92282,-89450,11247,59622,94959,-20634,92282
1700,39530,59780,-99315,70861,41356,-96756,13677,-21958,9530,-89553,36159,59731,95043,-67033,92314,95043,1130,92314,-89553,13438,59731,95043,-19096,92314
1750,37792,61281,-99077,69561,43077,-97183,13677,-21958,9530,-89680,38724,59868,95126,-66422,92346,95126,3004,92346,-89680,15575,59868,95126,-17597,92346
1800,36040,62759,-98803,68247,44778,-97580,13677,-21958,9530,-89828,41227,60037,95209,-65827,92379,95209,4829,92379,-89828,17660,60037,95209,-16136,92379
1850,34276,64216,-98495,66918,46459,-97948,13677,-21958,9530,-89998,43667,60243,95290,-65247,92411,95290,6608,92411,-89998,19693,60243,95290,-14714,92411
