Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86604,-8,-86606,78971,-10658,-70982,12786,0,0,-99999,-99999,-99999,-99999,-99999,-11582,-99999,-99999,-11582,-99999,-99999,-99999,-99999,-99999,-11582
50,85646,1877,-87533,78421,-8710,-72235,12786,0,0,-99983,-97024,62178,88096,-97971,-11582,88096,-97777,-11582,-99983,-97529,62178,88096,-97971,-11582
100,84659,3761,-88429,77787,-6762,-73419,12786,0,0,-99652,-91146,62178,88143,-93964,-11539,88143,-93389,-11539,-99652,-92649,62178,88143,-93964,-11539
150,83641,5644,-89293,77017,-4813,-74491,12786,0,0,-98948,-85414,61984,88280,-90058,-11358,88280,-89110,-11358,-98948,-87889,61984,88280,-90058,-11358
200,82593,7525,-90125,76161,-2866,-75492,12786,0,0,-98231,-79823,61689,88444,-86251,-11087,88444,-84941,-11087,-98231,-83247,61689,88444,-86251,-11087
250,81516,9403,-90926,75274,-928,-76460,12786,0,0,-97527,-74370,61499,88616,-82542,-10821,88616,-80879,-10821,-97527,-78719,61499,88616,-82542,-10821
300,80409,11278,-91694,74357,999,-77392,12786,0,0,-96856,-69051,61327,88784,-78929,-10556,88784,-76921,-10556,-96856,-74303,61327,88784,-78929,-10556
350,79275,13148,-92430,73404,2917,-78288,12786,0,0,-96215,-63864,61162,88949,-75408,-10289,88949,-73065,-10289,-96215,-69996,61162,88949,-75408,-10289
400,78112,15015,-93132,72415,4824,-79144,12786,0,0,-95605,-58805,61003,89110,-71978,-10023,89110,-69307,-10023,-95605,-65796,61003,89110,-71978,-10023
450,76921,16875,-93802,71389,6720,-79959,12786,0,0,-95025,-53871,60849,89269,-68635,-9758,89269,-65647,-9758,-95025,-61699,60849,89269,-68635,-9758
500,75703,18730,-94439,70323,8604,-80733,12786,0,0,-94475,-49059,60700,89425,-65379,-9491,89425,-62080,-9491,-94475,-57704,60700,89425,-65379,-9491
550,74458,20578,-95041,69219,10476,-81464,12786,0,0,-93955,-44366,60555,89578,-62206,-9226,89578,-58605,-9226,-93955,-53807,60555,89578,-62206,-9226
600,73187,22419,-95611,68077,12334,-82151,12786,0,0,-93464,-39788,60415,89728,-59115,-8962,89728,-55219,-8962,-93464,-50006,60415,89728,-59115,-8962
650,71889,24252,-96146,66896,14179,-82794,12786,0,0,-93004,-35324,60280,89876,-56104,-8697,89876,-51921,-8697,-93004,-46299,60280,89876,-56104,-8697
700,70566,26076,-96647,65678,16007,-83393,12786,0,0,-92573,-30969,60151,90022,-53170,-8434,90022,-48707,-8434,-92573,-42684,60151,90022,-53170,-8434
750,69218,27891,-97114,64424,17819,-83949,12786,0,0,-92171,-26723,60026,90165,-50311,-8171,90165,-45576,-8171,-92171,-39158,60026,90165,-50311,-8171
800,67846,29696,-97546,63137,19613,-84460,12786,0,0,-91799,-22581,59908,90306,-47526,-7909,90306,-42525,-7909,-91799,-35719,59908,90306,-47526,-7909
850,66449,31491,-97943,61819,21387,-84929,12786,0,0,-91456,-18541,59795,90445,-44812,-7646,90445,-39553,-7646,-91456,-32364,59795,90445,-44812,-7646
900,65029,33274,-98306,60471,23140,-85355,12786,0,0,-91142,-14601,59690,90581,-42169,-7385,90581,-36658,-7385,-91142,-29093,59690,90581,-42169,-7385
950,63585,35046,-98634,59097,24870,-85741,12786,0,0,-90856,-10759,59591,90715,-39594,-7124,90715,-33837,-7124,-90856,-25903,59591,90715,-39594,-7124
1000,62119,36805,-98927,57700,26576,-86085,12786,0,0,-90600,-7011,59500,90847,-37085,-6863,90847,-31089,-6863,-90600,-22791,59500,90847,-37085,-6863
1050,60631,38551,-99185,56283,28257,-86391,12786,0,0,-90371,-3356,59417,90977,-34640,-6602,90977,-28412,-6602,-90371,-19756,59417,90977,-34640,-6602
1100,59122,40283,-99407,54848,29911,-86660,12786,0,0,-90171,209,59342,91104,-32259,-6339,91104,-25804,-6339,-90171,-16796,59342,91104,-32259,-6339
1150,57591,42001,-99595,53399,31538,-86892,12786,0,0,-89999,3686,59277,91230,-29939,-6076,91230,-23263,-6076,-89999,-13909,59277,91230,-29939,-6076
1200,56040,43704,-99747,51938,33136,-87089,12786,0,0,-89855,7077,59223,91354,-27679,-5813,91354,-20788,-5813,-89855,-11094,59223,91354,-27679,-5813
1250,54469,45392,-99863,50469,34703,-87253,12786,0,0,-89738,10384,59179,91475,-25478,-5547,91475,-18376,-5547,-89738,-8348,59179,91475,-25478,-5547
1300,52878,47063,-99944,48993,36241,-87386,12786,0,0,-89648,13610,59148,91594,-23333,-5281,91594,-16027,-5281,-89648,-5669,59148,91594,-23333,-5281
1350,51269,48718,-99990,47514,37747,-87488,12786,0,0,-89585,16756,59129,91712,-21244,-5013,91712,-13739,-5013,-89585,-3057,59129,91712,-21244,-5013
1400,49642,50356,-99999,46034,39222,-87562,12786,0,0,-89549,19824,59125,91827,-19208,-4743,91827,-11510,-4743,-89549,-510,59125,91827,-19208,-4743
1450,47997,51975,-99974,44553,40665,-87608,12786,0,0,-89538,22817,59137,91941,-17226,-4470,91941,-9338,-4470,-89538,1975,59137,91941,-17226,-4470
1500,46334,53576,-99913,43076,42077,-87628,12786,0,0,-89554,25736,59167,92052,-15294,-4197,92052,-7223,-4197,-89554,4399,59167,92052,-15294,-4197
1550,44656,55158,-99816,41601,43456,-87623,12786,0,0,-89594,28582,59215,92162,-13413,-3920,92162,-5162,-3920,-89594,6762,59215,92162,-13413,-3920
1600,42961,56721,-99684,40131,44804,-87594,12786,0,0,-89659,31359,59286,92270,-11580,-3642,92270,-3155,-3642,-89659,9067,59286,92270,-11580,-3642
1650,41252,58263,-99517,38667,46120,-87542,12786,0,0,-89749,34066,59380,92376,-9795,-3361,92376,-1199,-3361,-89749,11316,59380,92376,-9795,-3361
1700,39527,59784,-99314,37208,47406,-87468,12786,0,0,-89861,36707,59502,92480,-8056,-3079,92480,706,-3079,-89861,13508,59502,92480,-8056,-3079
1750,37789,61285,-99076,35755,48661,-87371,12786,0,0,-89997,39283,59653,92583,-6362,-2794,92583,2561,-2794,-89997,15647,59653,92583,-6362,-2794
