Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86607,-17,-86594,99998,-33375,-53680,-99999,-99999,-99999,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,-99999,-99999,-99999,99999
50,85650,1868,-87521,99980,-31524,-55321,-99983,-97048,62874,95038,-97483,99999,95038,-97772,99998,-99983,-97529,62874,95038,-97483,99999
100,84662,3752,-88417,99915,-29662,-56933,-99643,-91217,62874,95030,-92511,98108,95030,-93371,99992,-99643,-92650,62874,95030,-92511,98108
150,83644,5635,-89282,99787,-27790,-58502,-98928,-85530,62684,95050,-87662,95239,95050,-89079,99982,-98928,-87891,62684,95050,-87662,95239
200,82597,7515,-90116,99599,-25908,-60032,-98208,-79983,62392,95093,-82934,93329,95093,-84894,99975,-98208,-83249,62392,95093,-82934,93329
250,81519,9394,-90917,99365,-24016,-61532,-97495,-74574,62198,95148,-78324,91495,95148,-80813,99969,-97495,-78722,62198,95148,-78324,91495
300,80413,11268,-91686,99092,-22118,-63006,-96806,-69298,62021,95209,-73829,89757,95209,-76835,99963,-96806,-74307,62021,95209,-73829,89757
350,79279,13139,-92422,98782,-20214,-64454,-96144,-64152,61852,95271,-69447,88113,95271,-72956,99957,-96144,-70001,61852,95271,-69447,88113
400,78116,15005,-93125,98435,-18304,-65877,-95513,-59134,61690,95335,-65175,86584,95335,-69174,99952,-95513,-65801,61690,95335,-65175,86584
450,76925,16866,-93795,98050,-16390,-67274,-94911,-54239,61533,95398,-61009,85159,95398,-65487,99947,-94911,-61705,61533,95398,-61009,85159
500,75707,18721,-94432,97629,-14472,-68643,-94340,-49465,61381,95461,-56949,83838,95461,-61893,99942,-94340,-57710,61381,95461,-56949,83838
550,74462,20569,-95036,97170,-12551,-69985,-93798,-44809,61233,95525,-52990,82603,95525,-58388,99938,-93798,-53813,61233,95525,-52990,82603
600,73191,22410,-95605,96674,-10627,-71299,-93287,-40268,61091,95589,-49130,81463,95589,-54972,99934,-93287,-50013,61091,95589,-49130,81463
650,71894,24243,-96141,96142,-8701,-72584,-92805,-35839,60953,95653,-45367,80399,95653,-51641,99930,-92805,-46307,60953,95653,-45367,80399
700,70571,26067,-96643,95572,-6774,-73840,-92353,-31519,60820,95717,-41699,79401,95717,-48395,99926,-92353,-42692,60820,95717,-41699,79401
750,69223,27882,-97110,94967,-4847,-75066,-91931,-27307,60693,95781,-38124,78480,95781,-45229,99923,-91931,-39167,60693,95781,-38124,78480
800,67851,29688,-97542,94326,-2921,-76263,-91538,-23198,60571,95846,-34638,77615,95846,-42144,99920,-91538,-35728,60571,95846,-34638,77615
850,66454,31482,-97940,93651,-996,-77429,-91174,-19190,60455,95910,-31239,76817,95910,-39136,99917,-91174,-32375,60455,95910,-31239,76817
900,65034,33266,-98304,92941,926,-78566,-90839,-15282,60346,95975,-27927,76057,95975,-36204,99915,-90839,-29104,60346,95975,-27927,76057
950,63590,35037,-98632,92199,2845,-79672,-90533,-11470,60243,96040,-24698,75354,96040,-33345,99912,-90533,-25914,60243,96040,-24698,75354
1000,62124,36796,-98925,91424,4759,-80748,-90256,-7752,60147,96105,-21550,74689,96105,-30559,99910,-90256,-22802,60147,96105,-21550,74689
1050,60636,38542,-99183,90619,6668,-81794,-90007,-4126,60059,96170,-18482,74071,96170,-27843,99908,-90007,-19768,60059,96170,-18482,74071
1100,59127,40275,-99406,89783,8571,-82810,-89787,-589,59979,96236,-15491,73482,96236,-25196,99906,-89787,-16808,59979,96236,-15491,73482
1150,57596,41993,-99594,88918,10467,-83795,-89595,2860,59908,96301,-12575,72941,96301,-22615,99904,-89595,-13922,59908,96301,-12575,72941
1200,56045,43696,-99746,88025,12355,-84750,-89430,6224,59846,96366,-9733,72418,96366,-20100,99902,-89430,-11107,59846,96366,-9733,72418
1250,54474,45384,-99862,87105,14234,-85675,-89293,9505,59795,96431,-6963,71934,96431,-17648,99900,-89293,-8361,59795,96431,-6963,71934
1300,52884,47055,-99944,86158,16104,-86570,-89183,12705,59755,96497,-4264,71478,96497,-15258,99899,-89183,-5683,59755,96497,-4264,71478
1350,51275,48710,-99989,85186,17964,-87435,-89100,15826,59727,96562,-1632,71041,96562,-12929,99897,-89100,-3072,59727,96562,-1632,71041
1400,49647,50347,-99999,84188,19813,-88269,-89044,18869,59712,96627,933,70632,96627,-10658,99896,-89044,-524,59712,96627,933,70632
1450,48002,51967,-99974,83167,21650,-89074,-89013,21838,59712,96691,3433,70242,96691,-8445,99894,-89013,1960,59712,96691,3433,70242
1500,46340,53568,-99913,82122,23476,-89849,-89009,24734,59728,96756,5870,69872,96756,-6289,99893,-89009,4383,59728,96756,5870,69872
1550,44662,55150,-99817,81055,25289,-90593,-89030,27558,59761,96820,8244,69520,96820,-4186,99892,-89030,6746,59761,96820,8244,69520
1600,42967,56713,-99685,79965,27089,-91308,-89076,30312,59813,96884,10559,69178,96884,-2138,99891,-89076,9051,59813,96884,10559,69178
1650,41258,58255,-99518,78853,28875,-91992,-89146,32998,59887,96948,12815,68846,96948,-141,99890,-89146,11299,59887,96948,12815,68846
1700,39533,59777,-99315,77719,30648,-92647,-89240,35618,59984,97012,15013,68523,97012,1805,99888,-89240,13491,59984,97012,15013,68523
1750,37795,61277,-99077,76564,32406,-93271,-89356,38173,60108,97075,17156,68209,97075,3702,99887,-89356,15630,60108,97075,17156,68209
1800,36043,62756,-98804,75388,34150,-93864,-89496,40665,60262,97138,19244,67886,97138,5550,99886,-89496,17715,60262,97138,19244,67886
1850,34279,64212,-98496,74192,35879,-94427,-89656,43096,60449,97201,21279,67573,97201,7351,99885,-89656,19749,60449,97201,21279,67573
1900,32502,65646,-98152,72975,37592,-94960,-89837,45466,60675,97263,23262,67250,97263,9106,99884,-89837,21733,60675,97263,23262,67250
1950,30714,67056,-97774,71737,39289,-95461,-90038,47778,60944,97325,25194,66927,97325,10817,99883,-90038,23668,60944,97325,25194,66927
2000,28914,68442,-97362,70479,40971,-95932,-90256,50033,61264,97387,27078,66585,97387,12484,99882,-90256,25555,61264,97387,27078,66585
2050,27105,69804,-96914,69202,42636,-96371,-90491,52232,61641,97448,28913,66233,97448,14109,99880,-90491,27395,61641,97448,28913,66233
2100,25286,71141,-96432,67904,44284,-96779,-90740,54377,62086,97508,30701,65863,97508,15692,99879,-90740,29190,62086,97508,30701,65863
2150,23458,72453,-95916,66587,45914,-97156,-91001,56469,62611,97569,32444,65473,97569,17234,99878,-91001,30941,62611,97569,32444,65473
2200,21621,73740,-95366,65250,47528,-97501,-91271,58510,63228,97629,34142,65065,97629,18737,99876,-91271,32648,63228,97629,34142,65065
2250,19777,75000,-94782,63894,49123,-97813,-91546,60500,63958,97688,35797,64628,97688,20202,99875,-91546,34314,63958,97688,35797,64628
2300,17926,76233,-94164,62519,50699,-98094,-91820,62440,64820,97747,37410,64162,97747,21629,99873,-91820,35938,64820,97747,37410,64162
2350,16068,77439,-93513,61126,52256,-98342,-92086,64333,65843,97806,38981,63678,97806,23020,99871,-92086,37522,65843,97806,38981,63678
2400,14205,78618,-92828,59715,53793,-98558,-92336,66179,67058,97864,40511,63155,97864,24375,99870,-92336,39067,67058,97864,40511,63155
2450,12337,79769,-92111,58288,55308,-98740,-92555,67980,68502,97922,42003,62604,97922,25695,99868,-92555,40574,68502,97922,42003,62604
2500,10464,80891,-91361,56843,56802,-98890,-92728,69736,70214,97979,43456,62015,97979,26982,99866,-92728,42043,70214,97979,43456,62015
2550,8588,81985,-90578,55384,58273,-99006,-92831,71449,72224,98035,44872,61407,98035,28235,99863,-92831,43477,72224,98035,44872,61407
2600,6708,83050,-89763,53909,59720,-99089,-92839,73119,74541,98092,46252,60761,98092,29456,99861,-92839,44875,74541,98092,46252,60761
2650,4827,84085,-88917,52420,61143,-99139,-92724,74749,77126,98147,47596,60096,98147,30646,99859,-92724,46238,77126,98147,47596,60096
2700,2943,85090,-88038,50917,62541,-99155,-92465,76338,79879,98202,48906,59393,98202,31805,99856,-92465,47568,79879,98202,48906,59393
2750,1058,86065,-87129,49400,63915,-99137,-92054,77887,82647,98257,50182,58661,98257,32935,99854,-92054,48865,82647,98257,50182,58661
2800,-826,87010,-86188,47868,65264,-99085,-91502,79399,85265,98311,51425,57901,98311,34035,99851,-91502,50130,85265,98311,51425,57901
2850,-2711,87923,-85217,46320,66589,-98999,-90838,80873,87611,98365,52636,57103,98365,35107,99848,-90838,51363,87611,98365,52636,57103
2900,-4595,88806,-84216,44757,67891,-98878,-90094,82311,89636,98418,53816,56258,98418,36151,99845,-90094,52566,89636,98418,53816,56258
2950,-6477,89656,-83185,43178,69169,-98724,-89295,83713,91347,98471,54965,55374,98471,37169,99842,-89295,53740,91347,98471,54965,55374
3000,-8357,90475,-82124,41584,70422,-98536,-88459,85081,92783,98522,56085,54433,98522,38160,99839,-88459,54884,92783,98522,56085,54433
3050,-10233,91262,-81034,39976,71651,-98313,-87596,86415,93990,98574,57175,53436,98574,39125,99836,-87596,56001,93990,98574,57175,53436
3100,-12106,92016,-79915,38354,72854,-98057,-86708,87715,95007,98624,58238,52400,98624,40066,99832,-86708,57089,95007,98624,58238,52400
3150,-13975,92738,-78768,36719,74031,-97766,-85799,88984,95867,98674,59273,51308,98674,40982,99828,-85799,58151,95867,98674,59273,51308
3200,-15839,93426,-77592,35071,75182,-97442,-84868,90222,96598,98723,60281,50168,98723,41874,99824,-84868,59187,96598,98723,60281,50168
3250,-17697,94082,-76390,33411,76307,-97084,-83916,91429,97219,98771,61263,48980,98771,42744,99820,-83916,60197,97219,98771,61263,48980
3300,-19549,94704,-75160,31739,77406,-96693,-82945,92606,97747,98819,62220,47745,98819,43591,99816,-82945,61182,97747,98819,62220,47745
3350,-21394,95292,-73903,30054,78478,-96269,-81954,93754,98195,98865,63152,46462,98865,44415,99811,-81954,62143,98195,98865,63152,46462
3400,-23232,95847,-72620,28359,79525,-95812,-80946,94874,98574,98911,64060,45132,98911,45219,99807,-80946,63080,98574,98911,64060,45132
3450,-25061,96367,-71311,26651,80545,-95321,-79920,95966,98893,98956,64944,43764,98956,46002,99802,-79920,63994,98893,98956,64944,43764
3500,-26881,96853,-69977,24933,81539,-94799,-78878,97031,99158,99000,65805,42339,99000,46764,99797,-78878,64885,99158,99000,65805,42339
3550,-28692,97305,-68618,23204,82507,-94244,-77822,98070,99378,99043,66644,40867,99043,47507,99792,-77822,65754,99378,99043,66644,40867
3600,-30492,97722,-67235,21463,83449,-93657,-76751,98949,99557,99085,67461,39346,99085,48230,99786,-76751,66602,99557,99085,67461,39346
3650,-32282,98105,-65828,19713,84365,-93038,-75668,99547,99700,99126,68257,37788,99126,48934,99781,-75668,67429,99700,99126,68257,37788
3700,-34060,98453,-64397,17953,85255,-92387,-74573,99888,99811,99166,69033,36173,99166,49621,99775,-74573,68235,99811,99166,69033,36173
3750,-35826,98765,-62944,16183,86118,-91705,-73469,99999,99894,99205,69788,34520,99205,50289,99769,-73469,69022,99894,99205,69788,34520
3800,-37579,99043,-61468,14404,86955,-90992,-72357,99899,99950,99243,70523,32829,99243,50940,99763,-72357,69789,99950,99243,70523,32829
3850,-39319,99285,-59971,12617,87765,-90249,-71238,99611,99985,99280,71240,31090,99280,51575,99757,-71238,70537,99985,99280,71240,31090
3900,-41045,99492,-58452,10822,88548,-89474,-70113,99152,99999,99316,71938,29304,99316,52192,99751,-70113,71267,99999,99316,71938,29304
3950,-42757,99664,-56912,9020,89304,-88669,-68982,98539,99994,99350,72618,27490,99350,52794,99745,-68982,71979,99994,99350,72618,27490
4000,-44453,99800,-55352,7212,90031,-87834,-67847,97786,99973,99384,73280,25637,99384,53380,99738,-67847,72673,99973,99384,73280,25637
4050,-46133,99901,-53772,5398,90730,-86969,-66707,96908,99938,99416,73925,23756,99416,53951,99732,-66707,73350,99938,99416,73925,23756
4100,-47797,99967,-52174,3579,91401,-86075,-65565,95916,99889,99447,74553,21837,99447,54507,99725,-65565,74010,99889,99447,74553,21837
4150,-49445,99996,-50556,1757,92042,-85151,-64419,94822,99828,99477,75165,19889,99477,55049,99718,-64419,74654,99828,99477,75165,19889
4200,-51074,99991,-48921,-68,92653,-84198,-63272,93636,99756,99506,75761,17922,99506,55577,99711,-63272,75283,99756,99506,75761,17922
4250,-52685,99950,-47269,-1895,93233,-83216,-62123,92368,99674,99534,76342,15927,99534,56091,99704,-62123,75895,99674,99534,76342,15927
4300,-54278,99873,-45599,-3724,93782,-82205,-60973,91027,99583,99561,76908,13913,99561,56592,99697,-60973,76493,99583,99561,76908,13913
4350,-55851,99761,-43914,-5552,94300,-81165,-59823,89619,99484,99586,77459,11880,99586,57080,99690,-59823,77075,99484,99586,77459,11880
4400,-57405,99613,-42212,-7380,94785,-80098,-58674,88153,99377,99611,77996,9837,99611,57555,99683,-58674,77644,99377,99611,77996,9837
4450,-58938,99430,-40496,-9206,95238,-79002,-57526,86635,99263,99635,78519,7776,99635,58018,99676,-57526,78198,99263,99635,78519,7776
4500,-60450,99212,-38766,-11029,95657,-77879,-56380,85071,99143,99658,79029,5705,99658,58469,99669,-56380,78739,99143,99658,79029,5705
4550,-61941,98958,-37021,-12848,96042,-76728,-55235,83466,99017,99680,79525,3624,99680,58908,99661,-55235,79266,99017,99680,79525,3624
4600,-63410,98670,-35264,-14663,96393,-75551,-54094,81827,98886,99701,80009,1534,99701,59336,99654,-54094,79780,98886,99701,80009,1534
4650,-64856,98346,-33494,-16473,96709,-74346,-52956,80157,98750,99721,80480,-556,99721,59753,99647,-52956,80282,98750,99721,80480,-556
4700,-66279,97987,-31712,-18277,96990,-73116,-51821,78461,98610,99741,80939,-2646,99741,60160,99639,-51821,80771,98610,99741,80939,-2646
4750,-67679,97594,-29919,-20073,97235,-71859,-50691,76742,98465,99759,81386,-4746,99759,60556,99632,-50691,81248,98465,99759,81386,-4746
4800,-69054,97165,-28115,-21862,97445,-70577,-49566,75006,98317,99777,81822,-6836,99777,60941,99625,-49566,81713,98317,99777,81822,-6836
4850,-70405,96703,-26301,-23642,97618,-69270,-48447,73254,98166,99794,82247,-8936,99794,61317,99617,-48447,82167,98166,99794,82247,-8936
4900,-71731,96206,-24478,-25413,97756,-67937,-47333,71491,98011,99810,82660,-11026,99810,61683,99610,-47333,82610,98011,99810,82660,-11026
4950,-73032,95674,-22646,-27174,97857,-66581,-46226,69719,97854,99826,83063,-13116,99826,62040,99603,-46226,83041,97854,99826,83063,-13116
5000,-74306,95109,-20806,-28925,97921,-65200,-45126,67940,97694,99841,83456,-15197,99841,62388,99595,-45126,83462,97694,99841,83456,-15197
5050,-75555,94510,-18959,-30664,97950,-63797,-44033,66158,97532,99855,83839,-17277,99855,62727,99588,-44033,83873,97532,99855,83839,-17277
5100,-76776,93877,-17105,-32391,97941,-62370,-42948,64374,97367,99868,84212,-19339,99868,63057,99581,-42948,84273,97367,99868,84212,-19339
5150,-77970,93211,-15245,-34106,97897,-60921,-41871,62591,97201,99881,84575,-21401,99881,63378,99574,-41871,84664,97201,99881,84575,-21401
5200,-79136,92512,-13380,-35808,97816,-59450,-40803,60810,97033,99893,84929,-23453,99893,63692,99567,-40803,85045,97033,99893,84929,-23453
5250,-80274,91780,-11509,-37496,97699,-57958,-39745,59033,96863,99905,85274,-25495,99905,63997,99559,-39745,85416,96863,99905,85274,-25495
5300,-81384,91016,-9635,-39171,97546,-56446,-38695,57262,96692,99916,85611,-27519,99916,64295,99552,-38695,85779,96692,99916,85611,-27519
5350,-82465,90219,-7757,-40831,97358,-54913,-37656,55498,96520,99926,85938,-29533,99926,64585,99545,-37656,86132,96520,99926,85938,-29533
5400,-83516,89390,-5877,-42476,97134,-53360,-36628,53743,96347,99935,86258,-31538,99935,64868,99538,-36628,86477,96347,99935,86258,-31538
5450,-84538,88529,-3994,-44106,96874,-51789,-35610,51998,96173,99944,86569,-33524,99944,65143,99531,-35610,86813,96173,99944,86569,-33524
5500,-85530,87637,-2110,-45721,96580,-50200,-34604,50264,95997,99952,86872,-35500,99952,65412,99524,-34604,87141,95997,99952,86872,-35500
5550,-86492,86714,-225,-47319,96251,-48592,-33609,48543,95822,99959,87168,-37447,99959,65674,99518,-33609,87461,95822,99959,87168,-37447
5600,-87422,85760,1660,-48900,95888,-46968,-32626,46834,95645,99966,87456,-39385,99966,65929,99511,-32626,87773,95645,99966,87456,-39385
5650,-88322,84775,3544,-50464,95491,-45328,-31655,45139,95468,99972,87737,-41295,99972,66177,99504,-31655,88077,95468,99972,87737,-41295
5700,-89190,83760,5427,-52011,95060,-43671,-30697,43459,95291,99978,88011,-43195,99978,66420,99497,-30697,88374,95291,99978,88011,-43195
5750,-90027,82716,7308,-53540,94596,-42000,-29752,41795,95114,99983,88278,-45067,99983,66656,99491,-29752,88663,95114,99983,88278,-45067
5800,-90831,81642,9187,-55051,94099,-40314,-28821,40147,94936,99987,88539,-46910,99987,66887,99484,-28821,88945,94936,99987,88539,-46910
5850,-91603,80539,11062,-56543,93569,-38614,-27902,38515,94758,99990,88792,-48734,99990,67111,99478,-27902,89220,94758,99990,88792,-48734
5900,-92343,79407,12933,-58015,93007,-36901,-26998,36901,94580,99993,89040,-50539,99993,67330,99472,-26998,89489,94580,99993,89040,-50539
5950,-93050,78248,14800,-59468,92412,-35175,-26108,35305,94403,99995,89281,-52306,99995,67544,99466,-26108,89751,94403,99995,89281,-52306
6000,-93724,77060,16661,-60901,91786,-33437,-25233,33727,94225,99997,89516,-54054,99997,67752,99459,-25233,90006,94225,99997,89516,-54054
6050,-94364,75845,18517,-62313,91128,-31688,-24372,32167,94048,99998,89746,-55765,99998,67955,99454,-24372,90255,94048,99998,89746,-55765
6100,-94971,74603,20366,-63704,90438,-29929,-23526,30627,93871,99998,89969,-57456,99998,68153,99448,-23526,90498,93871,99998,89969,-57456
6150,-95545,73335,22207,-65074,89718,-28159,-22695,29105,93694,99998,90188,-59109,99998,68346,99442,-22695,90735,93694,99998,90188,-59109
6200,-96084,72041,24041,-66421,88967,-26380,-21879,27604,93517,99998,90400,-60733,99998,68535,99436,-21879,90966,93517,99998,90400,-60733
6250,-96589,70721,25867,-67746,88185,-24592,-21079,26122,93342,99997,90608,-62320,99997,68718,99431,-21079,91191,93342,99997,90608,-62320
6300,-97060,69375,27683,-69047,87373,-22796,-20295,24659,93166,99995,90810,-63878,99995,68898,99425,-20295,91411,93166,99995,90810,-63878
6350,-97497,68006,29489,-70326,86531,-20993,-19527,23217,92992,99993,91008,-65408,99993,69072,99420,-19527,91625,92992,99993,91008,-65408
6400,-97898,66612,31285,-71580,85660,-19183,-18775,21796,92818,99990,91201,-66899,99990,69243,99415,-18775,91834,92818,99990,91201,-66899
6450,-98265,65194,33069,-72809,84758,-17366,-18038,20394,92644,99987,91389,-68353,99987,69410,99409,-18038,92038,92644,99987,91389,-68353
6500,-98597,63753,34842,-74014,83828,-15544,-17319,19013,92472,99983,91572,-69778,99983,69572,99404,-17319,92237,92472,99983,91572,-69778
6550,-98894,62290,36603,-75193,82868,-13716,-16615,17652,92300,99979,91751,-71165,99979,69730,99400,-16615,92431,92300,99979,91751,-71165
6600,-99156,60804,38350,-76346,81879,-11885,-15929,16312,92129,99975,91926,-72514,99975,69885,99395,-15929,92620,92129,99975,91926,-72514
6650,-99383,59297,40084,-77472,80862,-10049,-15259,14993,91959,99970,92097,-73835,99970,70036,99390,-15259,92805,91959,99970,92096,-73835
6700,-99574,57769,41804,-78572,79817,-8210,-14605,13693,91790,99965,92263,-75117,99965,70183,99386,-14605,92985,91790,99965,92263,-75117
6750,-99730,56220,43509,-79644,78743,-6369,-13969,12415,91622,99960,92425,-76362,99960,70327,99381,-13969,93160,91622,99960,92425,-76362
6800,-99851,54651,45198,-80689,77642,-4526,-13349,11157,91455,99954,92584,-77578,99954,70467,99377,-13349,93331,91455,99954,92584,-77578
6850,-99936,53063,46871,-81705,76513,-2681,-12746,9919,91289,99948,92739,-78756,99948,70604,99373,-12746,93498,91289,99948,92739,-78756
6900,-99985,51456,48528,-82693,75357,-835,-12160,8701,91124,99942,92890,-79896,99942,70738,99369,-12160,93661,91124,99942,92890,-79896
6950,-99999,49831,50167,-83651,74175,1010,-11592,7504,90961,99935,93037,-81008,99935,70869,99365,-11592,93820,90961,99935,93037,-81008
7000,-99978,48188,51789,-84580,72966,2855,-11040,6327,90799,99929,93181,-82081,99929,70996,99361,-11040,93975,90799,99929,93181,-82081
7050,-99921,46528,53392,-85480,71731,4699,-10505,5170,90638,99922,93322,-83117,99922,71121,99358,-10505,94126,90638,99922,93322,-83117
7100,-99828,44851,54976,-86350,70470,6541,-9987,4033,90478,99915,93460,-84124,99915,71243,99354,-9987,94273,90478,99915,93460,-84124
7150,-99701,43159,56541,-87189,69184,8381,-9485,2916,90320,99907,93594,-85102,99907,71361,99351,-9485,94417,90320,99907,93594,-85102
7200,-99537,41451,58085,-87997,67874,10218,-9001,1818,90163,99900,93725,-86043,99900,71477,99348,-9001,94557,90163,99900,93725,-86043
7250,-99338,39728,59609,-88775,66539,12051,-8533,741,90008,99892,93853,-86955,99892,71591,99344,-8533,94694,90008,99892,93853,-86955
7300,-99104,37992,61112,-89521,65180,13879,-8082,-318,89854,99884,93978,-87829,99884,71701,99341,-8082,94827,89854,99884,93978,-87829
7350,-98835,36241,62593,-90236,63798,15703,-7648,-1357,89701,99876,94100,-88675,99876,71809,99338,-7648,94957,89701,99876,94100,-88675
7400,-98531,34478,64052,-90919,62393,17521,-7230,-2377,89551,99868,94219,-89482,99868,71915,99336,-7230,95084,89551,99868,94219,-89482
7450,-98191,32703,65488,-91571,60966,19334,-6829,-3378,89402,99860,94336,-90261,99860,72018,99333,-6829,95208,89402,99860,94336,-90261
7500,-97817,30916,66901,-92190,59517,21139,-6444,-4361,89254,99852,94450,-91012,99852,72119,99330,-6444,95328,89254,99852,94450,-91012
7550,-97408,29118,68290,-92777,58047,22936,-6075,-5325,89108,99843,94561,-91724,99843,72217,99328,-6075,95446,89108,99843,94561,-91724
7600,-96964,27309,69655,-93332,56556,24726,-5722,-6270,88964,99835,94670,-92408,99835,72314,99325,-5722,95561,88964,99835,94670,-92408
7650,-96486,25491,70995,-93854,55044,26507,-5385,-7197,88822,99826,94776,-93064,99826,72408,99323,-5385,95672,88822,99826,94776,-93064
7700,-95974,23664,72309,-94343,53514,28278,-5063,-8106,88682,99817,94880,-93682,99817,72500,99321,-5063,95782,88682,99817,94880,-93682
7750,-95427,21829,73598,-94800,51964,30040,-4757,-8997,88544,99809,94981,-94271,99809,72590,99319,-4757,95888,88544,99809,94981,-94271
7800,-94847,19986,74861,-95223,50396,31790,-4466,-9871,88407,99800,95081,-94831,99800,72677,99317,-4466,95992,88407,99800,95081,-94831
7850,-94233,18135,76098,-95614,48810,33530,-4190,-10727,88272,99791,95178,-95363,99791,72763,99315,-4190,96093,88272,99791,95178,-95363
7900,-93585,16278,77307,-95971,47207,35258,-3929,-11565,88140,99782,95272,-95867,99782,72847,99313,-3929,96192,88140,99782,95272,-95867
7950,-92904,14416,78489,-96295,45587,36973,-3682,-12387,88009,99773,95365,-96332,99773,72929,99312,-3682,96288,88009,99773,95365,-96332
8000,-92191,12548,79643,-96586,43952,38675,-3449,-13191,87881,99764,95456,-96769,99764,73009,99310,-3449,96382,87881,99764,95456,-96769
8050,-91444,10676,80768,-96843,42301,40363,-3231,-13979,87755,99755,95544,-97178,99755,73088,99309,-3231,96474,87755,99755,95544,-97178
8100,-90665,8800,81865,-97067,40635,42037,-3026,-14751,87631,99746,95631,-97558,99746,73164,99307,-3026,96563,87631,99746,95631,-97558
8150,-89854,6921,82933,-97257,38955,43695,-2835,-15506,87509,99737,95716,-97909,99737,73239,99306,-2835,96650,87509,99737,95716,-97909
8200,-89011,5039,83972,-97413,37262,45339,-2656,-16245,87389,99729,95798,-98232,99729,73313,99305,-2656,96735,87389,99729,95798,-98232
8250,-88136,3156,84980,-97536,35556,46966,-2491,-16968,87272,99720,95879,-98527,99720,73384,99304,-2491,96818,87272,99720,95879,-98527
8300,-87230,1272,85958,-97625,33837,48577,-2338,-17676,87157,99711,95959,-98793,99711,73455,99303,-2338,96899,87157,99711,95959,-98793
8350,-86292,-613,86906,-97681,32107,50170,-2197,-18368,87044,99702,96036,-99030,99702,73523,99302,-2197,96978,87044,99702,96036,-99030
8400,-85325,-2498,87823,-97702,30366,51745,-2067,-19045,86934,99693,96112,-99239,99693,73590,99301,-2067,97055,86934,99693,96112,-99239
8450,-84327,-4382,88709,-97690,28614,53302,-1949,-19707,86826,99684,96186,-99420,99684,73656,99301,-1949,97130,86826,99684,96186,-99420
8500,-83298,-6264,89563,-97644,26852,54841,-1842,-20354,86721,99676,96259,-99581,99676,73720,99300,-1842,97203,86721,99676,96259,-99581
8550,-82241,-8144,90386,-97564,25081,56359,-1745,-20986,86618,99667,96330,-99714,99667,73783,99300,-1745,97274,86618,99667,96330,-99714
8600,-81154,-10021,91176,-97451,23302,57858,-1659,-21604,86518,99659,96399,-99819,99659,73844,99299,-1659,97344,86518,99659,96399,-99819
8650,-80038,-11895,91934,-97303,21514,59336,-1582,-22208,86420,99650,96467,-99904,99650,73904,99299,-1582,97412,86420,99650,96467,-99904
8700,-78894,-13764,92659,-97122,19719,60793,-1515,-22798,86325,99642,96533,-99961,99642,73963,99299,-1515,97478,86325,99642,96533,-99961
8750,-77722,-15628,93351,-96908,17918,62228,-1456,-23374,86233,99634,96598,-99990,99634,74021,99299,-1456,97542,86233,99634,96598,-99990
8800,-76522,-17487,94011,-96659,16110,63642,-1406,-23937,86143,99625,96662,-99999,99625,74077,99299,-1406,97605,86143,99625,96662,-99999
8850,-75295,-19340,94636,-96377,14296,65032,-1364,-24487,86056,99617,96724,-99990,99617,74132,99299,-1364,97667,86056,99617,96724,-99990
8900,-74041,-21186,95228,-96062,12477,66400,-1330,-25023,85972,99609,96785,-99961,99609,74186,99299,-1330,97727,85972,99609,96785,-99961
8950,-72761,-23024,95787,-95713,10655,67744,-1302,-25547,85890,99602,96845,-99914,99602,74239,99299,-1302,97785,85890,99602,96845,-99914
9000,-71455,-24854,96311,-95331,8828,69064,-1282,-26058,85811,99594,96903,-99838,99594,74290,99299,-1282,97842,85811,99594,96903,-99838
9050,-70124,-26675,96801,-94916,6998,70360,-1267,-26556,85735,99586,96960,-99743,99586,74341,99300,-1267,97898,85735,99586,96960,-99743
9100,-68768,-28487,97257,-94468,5166,71631,-1258,-27043,85662,99579,97016,-99638,99579,74390,99300,-1258,97952,85662,99579,97016,-99638
9150,-67387,-30289,97678,-93987,3332,72876,-1254,-27517,85591,99571,97070,-99505,99571,74439,99300,-1254,98005,85591,99571,97070,-99505
9200,-65983,-32080,98064,-93473,1497,74095,-1255,-27980,85524,99564,97124,-99363,99564,74486,99301,-1255,98056,85524,99564,97124,-99363
9250,-64555,-33859,98416,-92926,-339,75289,-1260,-28432,85459,99557,97176,-99201,99557,74532,99302,-1260,98107,85459,99557,97176,-99201
9300,-63104,-35627,98732,-92348,-2175,76455,-1269,-28872,85397,99550,97227,-99021,99550,74578,99302,-1269,98156,85397,99550,97227,-99021
9350,-61630,-37382,99014,-91737,-4010,77595,-1280,-29301,85339,99544,97277,-98831,99544,74622,99303,-1280,98203,85339,99544,97277,-98831
9400,-60135,-39123,99260,-91094,-5844,78707,-1295,-29719,85283,99537,97326,-98622,99537,74665,99304,-1295,98250,85283,99537,97326,-98622
