         1,             0,   86606,     -13,  -86595,   99999,  -25032,  -63050,  -99999,  -99999,  -99999,  -99999,  -99999,   -9116,  -99999,  -99999,   -9116,  -99999,  -99999,  -99999,  -99999,  -99999,   -9116
         2,            50,   85648,    1872,  -87523,   99815,  -23031,  -64637,  -99983,  -97036,   62516,   91787,  -97426,   -9116,   91787,  -97426,   -9116,  -99983,  -97529,   62516,   91787,  -97426,   -9116
         3,           100,   84660,    3756,  -88419,   99575,  -21022,  -66183,  -99649,  -91182,   62516,   91806,  -92344,  -10862,   91806,  -92344,  -10862,  -99649,  -92649,   62516,   91806,  -92344,  -10862
         4,           150,   83643,    5639,  -89284,   99249,  -19005,  -67666,  -98944,  -85472,   62325,   91884,  -87388,  -12380,   91884,  -87388,  -12380,  -98944,  -87890,   62325,   91884,  -87388,  -12380
         5,           200,   82595,    7520,  -90117,   98851,  -16981,  -69096,  -98230,  -79903,   62031,   91987,  -82557,  -11964,   91987,  -82557,  -11964,  -98230,  -83248,   62031,   91987,  -82557,  -11964
         6,           250,   81518,    9398,  -90918,   98408,  -14953,  -70493,  -97524,  -74472,   61838,   92101,  -77848,  -11527,   92101,  -77848,  -11527,  -97524,  -78720,   61838,   92101,  -77848,  -11527
         7,           300,   80411,   11273,  -91687,   97926,  -12922,  -71861,  -96846,  -69175,   61663,   92217,  -73258,  -10966,   92217,  -73258,  -10966,  -96846,  -74305,   61663,   92217,  -73258,  -10966
         8,           350,   79277,   13144,  -92423,   97407,  -10890,  -73199,  -96198,  -64009,   61496,   92331,  -68785,  -10301,   92331,  -68785,  -10301,  -96198,  -69998,   61496,   92331,  -68785,  -10301
         9,           400,   78114,   15010,  -93126,   96851,   -8857,  -74506,  -95580,  -58970,   61336,   92444,  -64425,   -9490,   92444,  -64425,   -9490,  -95580,  -65798,   61336,   92444,  -64425,   -9490
        10,           450,   76923,   16871,  -93796,   96256,   -6825,  -75782,  -94992,  -54056,   61181,   92555,  -60176,   -8555,   92555,  -60176,   -8555,  -94992,  -61702,   61181,   92555,  -60176,   -8555
        11,           500,   75705,   18725,  -94433,   95622,   -4792,  -77025,  -94433,  -49263,   61030,   92665,  -56035,   -7515,   92665,  -56035,   -7515,  -94433,  -57707,   61030,   92665,  -56035,   -7515
        12,           550,   74460,   20574,  -95037,   94949,   -2762,  -78236,  -93905,  -44589,   60884,   92774,  -51999,   -6351,   92774,  -51999,   -6351,  -93905,  -53810,   60884,   92774,  -51999,   -6351
        13,           600,   73189,   22414,  -95606,   94237,    -733,  -79412,  -93407,  -40030,   60743,   92881,  -48066,   -5104,   92881,  -48066,   -5104,  -93407,  -50009,   60743,   92881,  -48066,   -5104
        14,           650,   71892,   24247,  -96142,   93486,    1293,  -80555,  -92938,  -35583,   60606,   92987,  -44232,   -3753,   92987,  -44232,   -3753,  -92938,  -46303,   60606,   92987,  -44232,   -3753
        15,           700,   70569,   26072,  -96643,   92697,    3315,  -81662,  -92498,  -31246,   60475,   93092,  -40496,   -2339,   93092,  -40496,   -2339,  -92498,  -42688,   60475,   93092,  -40496,   -2339
        16,           750,   69221,   27887,  -97110,   91871,    5332,  -82735,  -92088,  -27016,   60349,   93196,  -36855,    -842,   93196,  -36855,    -842,  -92088,  -39162,   60349,   93196,  -36855,    -842
        17,           800,   67848,   29692,  -97543,   91009,    7343,  -83772,  -91708,  -22891,   60229,   93299,  -33307,     717,   93299,  -33307,     717,  -91708,  -35723,   60229,   93299,  -33307,     717
        18,           850,   66452,   31486,  -97941,   90111,    9347,  -84775,  -91356,  -18868,   60115,   93401,  -29848,    2338,   93401,  -29848,    2338,  -91356,  -32369,   60115,   93401,  -29848,    2338
        19,           900,   65031,   33270,  -98304,   89180,   11343,  -85742,  -91033,  -14944,   60007,   93502,  -26478,    4022,   93502,  -26478,    4022,  -91033,  -29098,   60007,   93502,  -26478,    4022
        20,           950,   63588,   35041,  -98632,   88216,   13329,  -86675,  -90739,  -11117,   59906,   93602,  -23194,    5768,   93602,  -23194,    5768,  -90739,  -25908,   59906,   93602,  -23194,    5768
        21,          1000,   62122,   36800,  -98926,   87221,   15305,  -87574,  -90473,   -7384,   59813,   93701,  -19994,    7556,   93701,  -19994,    7556,  -90473,  -22797,   59813,   93701,  -19994,    7556
        22,          1050,   60634,   38546,  -99184,   86198,   17269,  -88438,  -90236,   -3743,   59727,   93799,  -16875,    9385,   93799,  -16875,    9385,  -90236,  -19762,   59727,   93799,  -16875,    9385
        23,          1100,   59124,   40279,  -99406,   85146,   19221,  -89269,  -90027,    -193,   59650,   93895,  -13835,   11277,   93895,  -13836,   11277,  -90027,  -16802,   59650,   93895,  -13835,   11277
        24,          1150,   57594,   41997,  -99594,   84068,   21159,  -90066,  -89846,    3270,   59582,   93991,  -10874,   13210,   93991,  -10874,   13210,  -89846,  -13915,   59582,   93991,  -10874,   13210
        25,          1200,   56043,   43700,  -99746,   82966,   23082,  -90831,  -89692,    6648,   59524,   94086,   -7988,   15206,   94086,   -7988,   15206,  -89692,  -11100,   59524,   94086,   -7988,   15206
        26,          1250,   54472,   45388,  -99862,   81840,   24990,  -91563,  -89565,    9942,   59477,   94179,   -5175,   17222,   94179,   -5175,   17222,  -89565,   -8354,   59477,   94179,   -5175,   17222
        27,          1300,   52881,   47059,  -99944,   80693,   26881,  -92263,  -89466,   13154,   59441,   94272,   -2435,   19301,   94272,   -2435,   19301,  -89466,   -5676,   59441,   94272,   -2435,   19301
        28,          1350,   51272,   48714,  -99989,   79525,   28755,  -92931,  -89394,   16288,   59417,   94364,     236,   21421,   94364,     236,   21421,  -89394,   -3064,   59417,   94364,     236,   21421
        29,          1400,   49645,   50351,  -99999,   78338,   30612,  -93568,  -89348,   19344,   59408,   94454,    2838,   23604,   94454,    2838,   23604,  -89348,    -517,   59408,   94454,    2838,   23604
        30,          1450,   48000,   51971,  -99974,   77133,   32451,  -94175,  -89327,   22324,   59414,   94544,    5373,   25807,   94544,    5373,   25807,  -89327,    1968,   59414,   94544,    5373,   25807
        31,          1500,   46337,   53572,  -99913,   75911,   34271,  -94751,  -89333,   25231,   59436,   94632,    7844,   28073,   94632,    7844,   28073,  -89333,    4391,   59436,   94632,    7844,   28073
        32,          1550,   44659,   55154,  -99816,   74671,   36071,  -95297,  -89363,   28067,   59477,   94720,   10251,   30360,   94720,   10251,   30360,  -89363,    6754,   59477,   94720,   10251,   30360
