        28,          1350,   51272,   48714,  -99989,   79662,   28755,  -92953,  -89356,   16288,   59417,   94387,     220,   21421,   94387,     220,   21421,  -89356,   -3064,   59417,   94431,  -30753,   97531
        29,          1400,   49645,   50351,  -99999,   78482,   30612,  -93588,  -89310,   19344,   59408,   94478,    2822,   23604,   94478,    2822,   23604,  -89310,    -517,   59408,   94521,  -28955,   97599
        30,          1450,   48000,   51971,  -99974,   77285,   32451,  -94192,  -89290,   22324,   59414,   94567,    5357,   25807,   94567,    5357,   25807,  -89290,    1968,   59414,   94611,  -27203,   97669
        31,          1500,   46337,   53572,  -99913,   76071,   34271,  -94767,  -89295,   25231,   59436,   94656,    7827,   28073,   94656,    7827,   28073,  -89295,    4391,   59436,   94699,  -25497,   97740
        32,          1550,   44659,   55154,  -99817,   74840,   36071,  -95311,  -89326,   28067,   59477,   94743,   10234,   30360,   94743,   10234,   30360,  -89326,    6754,   59477,   94787,  -23833,   97811
        33,          1600,   42964,   56716,  -99685,   73593,   37853,  -95825,  -89382,   30832,   59538,   94830,   12579,   32688,   94830,   12579,   32688,  -89382,    9059,   59538,   94873,  -22213,   97885
        34,          1650,   41255,   58259,  -99517,   72331,   39614,  -96310,  -89461,   33529,   59622,   94915,   14864,   35058,   94915,   14864,   35058,  -89461,   11308,   59622,   94959,  -20634,   97959
        35,          1700,   39530,   59780,  -99315,   71055,   41356,  -96765,  -89565,   36159,   59731,   94999,   17091,   37448,   94999,   17091,   37448,  -89565,   13500,   59731,   95043,  -19096,   98034
        36,          1750,   37792,   61281,  -99077,   69763,   43077,  -97191,  -89691,   38724,   59868,   95083,   19260,   39860,   95083,   19260,   39860,  -89691,   15639,   59868,   95126,  -17597,   98110
        37,          1800,   36040,   62759,  -98803,   68458,   44778,  -97588,  -89839,   41227,   60037,   95165,   21374,   42313,   95165,   21374,   42313,  -89839,   17724,   60037,   95209,  -16136,   98187
        38,          1850,   34276,   64216,  -98495,   67138,   46459,  -97955,  -90009,   43667,   60243,   95247,   23433,   44766,   95247,   23433,   44766,  -90009,   19758,   60243,   95290,  -14714,   98264
        39,          1900,   32499,   65649,  -98152,   65804,   48119,  -98292,  -90198,   46047,   60490,   95327,   25439,   47219,   95327,   25439,   47219,  -90198,   21742,   60490,   95371,  -13327,   98341
        40,          1950,   30710,   67059,  -97773,   64455,   49759,  -98600,  -90407,   48368,   60785,   95407,   27394,   49672,   95407,   27394,   49672,  -90407,   23677,   60785,   95450,  -11977,   98418
