Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99997,-50012,-48743,85232,-99999,16840,4314,0,0,-99999,-99999,76721,-99999,-99999,75674,-99999,-99999,77395,-99999,-99999,77378,-99999,-99999,77495,-99999,-99999,77496,-99999,-99999,75862,-99999,-99999,77448
50,99980,-48371,-50326,86453,-99005,14715,4314,0,0,86339,-97970,76721,86285,-97970,75674,87089,-97970,77395,86948,-97970,77378,88000,-97970,77495,87417,-97970,77496,85082,-97970,75862,88498,-97970,77448
100,99927,-46713,-51891,87625,-97975,12600,4314,0,0,86161,-93959,75388,86107,-93959,74332,86899,-93959,76080,86764,-93959,76056,87801,-93959,76186,87227,-93959,76183,84922,-93960,74511,88295,-93959,76142
150,99840,-45038,-53439,88687,-96910,10554,4314,0,0,85794,-90042,72762,85746,-90042,71686,86508,-90041,73488,86380,-90041,73451,87388,-90041,73605,86833,-90041,73596,84601,-90043,71846,87875,-90040,73567
200,99717,-43348,-54967,89583,-95811,8631,4314,0,0,85428,-86213,70205,85393,-86213,69108,86109,-86211,70964,85988,-86212,70915,86969,-86210,71093,86431,-86211,71078,84291,-86216,69251,87448,-86209,71059
250,99558,-41641,-56476,90354,-94682,6796,4314,0,0,85101,-82471,67706,85086,-82472,66588,85747,-82467,68499,85629,-82468,68437,86583,-82465,68638,86062,-82467,68618,84017,-82477,66719,87058,-82464,68607
300,99363,-39920,-57963,91090,-93526,4966,4314,0,0,84805,-78814,65264,84810,-78816,64127,85413,-78808,66090,85299,-78810,66016,86228,-78804,66237,85722,-78808,66213,83764,-78824,64249,86699,-78803,66210
350,99133,-38185,-59431,91804,-92344,3131,4314,0,0,84533,-75242,62878,84556,-75245,61725,85105,-75233,63736,84992,-75235,63650,85900,-75226,63891,85406,-75232,63863,83528,-75256,61839,86367,-75225,63866
400,98868,-36436,-60878,92451,-91138,1337,4314,0,0,84282,-71752,60546,84320,-71757,59380,84818,-71739,61435,84706,-71741,61338,85594,-71730,61597,85112,-71737,61566,83309,-71772,59487,86059,-71728,61573
450,98568,-34674,-62302,93035,-89910,-421,4314,0,0,84049,-68342,58267,84102,-68350,57090,84551,-68325,59187,84441,-68328,59078,85309,-68313,59354,84838,-68323,59320,83106,-68368,57192,85772,-68310,59331
500,98232,-32900,-63704,93609,-88659,-2191,4314,0,0,83834,-65012,56041,83901,-65022,54854,84304,-64989,56990,84195,-64993,56869,85045,-64975,57161,84584,-64986,57125,82920,-65045,54950,85506,-64971,57137
550,97861,-31114,-65084,94176,-87386,-3978,4314,0,0,83637,-61760,53864,83717,-61772,52669,84076,-61731,54841,83967,-61735,54709,84800,-61713,55016,84349,-61727,54977,82749,-61799,52761,85260,-61709,54992
600,97456,-29317,-66441,94703,-86092,-5746,4314,0,0,83456,-58583,51737,83547,-58598,50536,83865,-58548,52740,83757,-58553,52597,84574,-58527,52917,84132,-58543,52877,82593,-58630,50623,85032,-58522,52892
650,97016,-27510,-67774,95186,-84778,-7494,4314,0,0,83290,-55481,49656,83392,-55499,48451,83672,-55440,50685,83563,-55445,50531,84365,-55414,50863,83932,-55433,50822,82451,-55535,48534,84822,-55409,50837
700,96542,-25693,-69083,95656,-83443,-9251,4314,0,0,83140,-52453,47621,83252,-52474,46412,83495,-52403,48673,83387,-52409,48509,84174,-52374,48853,83749,-52396,48811,82324,-52514,46493,84629,-52368,48825
