Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99997,-50009,-48747,88482,-99999,16467,4315,0,0,-99999,-99999,76077,-99999,-99999,75147,-99999,-99999,76741,-99999,-99999,76794,-99999,-99999,76815,-99999,-99999,76879,-99999,-99999,75460,-99999,-99999,76711
50,99980,-48368,-50329,89734,-98937,14221,4315,0,0,84745,-97970,76077,84663,-97970,75147,85321,-97970,76741,85240,-97970,76794,85954,-97970,76815,85570,-97970,76879,83873,-97970,75460,86284,-97970,76711
100,99927,-46710,-51894,90919,-97837,12001,4315,0,0,84589,-93960,74726,84507,-93960,73787,85157,-93959,75404,85079,-93960,75453,85783,-93959,75482,85406,-93959,75545,83730,-93960,74096,86110,-93959,75380
150,99840,-45035,-53442,91926,-96701,9913,4315,0,0,84269,-90043,72064,84192,-90043,71106,84818,-90042,72771,84745,-90043,72812,85429,-90042,72857,85064,-90042,72917,83444,-90044,71406,85751,-90042,72757
200,99717,-43344,-54971,92656,-95531,8053,4315,0,0,83953,-86216,69472,83892,-86216,68495,84474,-86215,70208,84404,-86215,70241,85070,-86214,70302,84717,-86214,70359,83171,-86218,68788,85388,-86213,70202
250,99558,-41637,-56479,93195,-94334,6344,4315,0,0,83677,-82477,66942,83636,-82478,65945,84166,-82474,67705,84097,-82475,67731,84745,-82472,67806,84402,-82474,67862,82932,-82481,66235,85062,-82472,67707
300,99363,-39916,-57967,93722,-93114,4625,4315,0,0,83429,-78824,64470,83407,-78826,63457,83886,-78819,65261,83816,-78820,65279,84449,-78816,65367,84114,-78819,65423,82711,-78832,63744,84766,-78815,65269
350,99133,-38181,-59434,94266,-91876,2872,4315,0,0,83202,-75256,62056,83196,-75260,61030,83628,-75249,62875,83557,-75250,62885,84177,-75244,62986,83849,-75248,63040,82507,-75267,61316,84493,-75243,62887
400,98868,-36432,-60881,94738,-90622,1169,4315,0,0,82991,-71772,59700,83001,-71777,58662,83388,-71761,60545,83316,-71762,60548,83924,-71755,60659,83602,-71759,60713,82317,-71787,58947,84241,-71753,60559
450,98567,-34670,-62305,95136,-89350,-480,4315,0,0,82796,-68369,57400,82820,-68376,56352,83165,-68354,58270,83092,-68355,58266,83690,-68346,58387,83372,-68352,58440,82142,-68388,56637,84008,-68344,58286
