Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99997,-50005,-49994,96354,-95556,2176,4367,-19381,18487,-99999,-99999,98386,-99999,-99999,98239,-99999,-99999,98426,-99999,-99999,98439,-99999,-99999,98177,-99999,-99999,98355,-99999,-99999,98750,-99999,-99999,97965
50,99980,-48364,-51618,97721,-94384,-60,4367,-19381,18487,83167,-97970,98386,83053,-97970,98239,83567,-97970,98426,83547,-97970,98439,83926,-97970,98177,83737,-97970,98355,82672,-97970,98750,84088,-97970,97965
100,99927,-46706,-53223,98961,-93173,-2227,4367,-19381,18487,83032,-93960,97513,82919,-93960,97348,83428,-93960,97576,83410,-93960,97595,83783,-93960,97325,83598,-93960,97513,82545,-93960,97885,83944,-93960,97103
150,99840,-45031,-54812,99780,-91924,-4079,4367,-19381,18487,82761,-90044,95794,82653,-90044,95593,83142,-90044,95903,83126,-90044,95933,83488,-90044,95646,83310,-90044,95854,82296,-90045,96178,83647,-90043,95406
200,99718,-43340,-56380,99944,-90643,-5415,4367,-19381,18487,82499,-86219,94121,82409,-86219,93884,82857,-86218,94275,82840,-86218,94316,83193,-86218,94013,83019,-86218,94240,82062,-86220,94517,83351,-86217,93754
250,99559,-41633,-57927,99735,-89343,-6457,4367,-19381,18487,82276,-82483,92487,82207,-82484,92217,82607,-82481,92686,82586,-82481,92738,82933,-82480,92418,82761,-82481,92665,81857,-82486,92898,83093,-82480,92141
300,99363,-39912,-59452,99660,-88042,-7613,4367,-19381,18487,82076,-78835,90894,82024,-78837,90591,82381,-78831,91135,82357,-78831,91198,82699,-78829,90862,82528,-78830,91127,81671,-78839,91320,82862,-78829,90567
350,99132,-38177,-60957,99805,-86748,-8944,4367,-19381,18487,81892,-75272,89339,81856,-75276,89007,82173,-75266,89622,82146,-75266,89695,82483,-75263,89343,82313,-75265,89627,81500,-75278,89782,82650,-75263,89030
400,98867,-36428,-62441,99899,-85458,-10230,4367,-19381,18487,81720,-71793,87824,81699,-71799,87463,81978,-71784,88146,81947,-71784,88230,82282,-71781,87861,82112,-71782,88163,81338,-71802,88283,82452,-71781,87532
450,98567,-34666,-63903,99837,-84157,-11396,4367,-19381,18487,81561,-68397,86346,81554,-68404,85958,81797,-68385,86707,81763,-68384,86800,82094,-68380,86416,81925,-68382,86736,81190,-68408,86821,82268,-68380,86069
500,98231,-32892,-65341,99778,-82839,-12580,4367,-19381,18487,81417,-65081,84904,81424,-65091,84490,81632,-65065,85302,81595,-65064,85404,81923,-65059,85005,81754,-65061,85341,81057,-65094,85395,82100,-65060,84642
