Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99998,-50009,-48747,86960,-99999,15447,4315,0,0,-99999,-99999,76552,-99999,-99999,75752,-99999,-99999,77094,-99999,-99999,77101,-99999,-99999,77165,-99999,-99999,77185,-99999,-99999,75948,-99999,-99999,77107
50,99980,-48368,-50329,88172,-98958,13282,4315,0,0,84905,-98121,76552,84857,-98121,75752,85445,-98129,77094,85349,-98128,77101,86080,-98137,77165,85679,-98132,77185,84027,-98110,75948,86425,-98141,77107
100,99927,-46710,-51895,89327,-97881,11136,4315,0,0,84749,-94409,75206,84701,-94407,74399,85280,-94431,75761,85188,-94429,75764,85909,-94456,75836,85515,-94440,75855,83884,-94375,74589,86251,-94468,75780
150,99840,-45035,-53442,90336,-96769,9091,4315,0,0,84426,-90783,72554,84383,-90781,71732,84939,-90820,73136,84853,-90816,73130,85553,-90860,73219,85172,-90835,73233,83594,-90729,71911,85890,-90880,73165
200,99717,-43344,-54971,91124,-95623,7222,4315,0,0,84103,-87241,69973,84072,-87238,69135,84591,-87291,70581,84508,-87286,70566,85190,-87346,70671,84821,-87311,70683,83310,-87166,69305,85523,-87373,70620
250,99558,-41638,-56479,91758,-94448,5469,4315,0,0,83816,-83779,67453,83801,-83776,66599,84276,-83843,68086,84194,-83836,68063,84858,-83912,68183,84499,-83868,68192,83057,-83686,66762,85189,-83946,68134
300,99362,-39916,-57966,92374,-93249,3708,4315,0,0,83555,-80398,64992,83555,-80395,64124,83986,-80473,65650,83905,-80465,65618,84554,-80556,65753,84204,-80503,65759,82823,-80287,64283,84882,-80597,65704
350,99132,-38181,-59433,92997,-92029,1920,4315,0,0,83314,-77095,62588,83328,-77092,61709,83718,-77181,63271,83637,-77172,63231,84272,-77277,63379,83930,-77216,63383,82606,-76967,61863,84600,-77325,63330
400,98867,-36432,-60880,93557,-90790,172,4315,0,0,83091,-73868,60241,83117,-73866,59353,83469,-73965,60948,83388,-73954,60900,84010,-74073,61059,83675,-74004,61062,82403,-73724,59504,84337,-74128,61011
450,98567,-34670,-62305,94053,-89530,-1535,4315,0,0,82884,-70717,57950,82921,-70716,57053,83237,-70823,58679,83156,-70811,58623,83766,-70943,58794,83437,-70867,58795,82216,-70558,57201,84093,-71005,58745
