Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99998,-50013,-49988,83374,-97699,15361,0,0,0,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999
50,99980,-48372,-51611,84542,-96745,13343,0,0,0,86676,-97511,99999,86695,-97510,99999,87351,-97524,99999,87179,-97520,99999,88268,-97540,99999,87649,-97529,99999,85403,-97487,99999,88801,-97549,99999
100,99927,-46713,-53216,85669,-95756,11329,0,0,0,86498,-92594,98510,86517,-92591,98495,87162,-92633,98530,86994,-92620,98521,88068,-92679,98538,87459,-92646,98532,85243,-92520,98482,88598,-92705,98542
150,99840,-45039,-54803,86720,-94733,9352,0,0,0,86127,-87790,95576,86149,-87785,95533,86767,-87854,95636,86609,-87833,95609,87654,-87929,95658,87064,-87875,95641,84915,-87670,95494,88175,-87973,95671
200,99716,-43348,-56371,87664,-93678,7445,0,0,0,85749,-83095,92720,85779,-83089,92648,86361,-83182,92819,86210,-83154,92774,87227,-83286,92855,86655,-83212,92828,84586,-82931,92584,87740,-83346,92876
250,99557,-41642,-57918,88522,-92592,5586,0,0,0,85403,-78507,89930,85445,-78499,89829,85985,-78616,90067,85840,-78580,90005,86830,-78747,90116,86275,-78653,90080,84286,-78300,89745,87337,-78823,90143
300,99362,-39920,-59444,89348,-91477,3730,0,0,0,85084,-74022,87203,85138,-74013,87076,85636,-74152,87378,85495,-74110,87299,86460,-74309,87438,85921,-74198,87394,84006,-73776,86975,86961,-74401,87471
350,99132,-38185,-60950,90148,-90334,1871,0,0,0,84788,-69640,84538,84852,-69631,84387,85310,-69790,84751,85173,-69740,84654,86114,-69972,84820,85590,-69843,84769,83745,-69356,84270,86610,-70079,84858
400,98867,-36436,-62433,90896,-89166,36,0,0,0,84511,-65359,81933,84585,-65349,81761,85005,-65527,82183,84872,-65471,82070,85791,-65733,82261,85281,-65587,82202,83500,-65038,81630,86282,-65854,82303
450,98567,-34675,-63895,91595,-87971,-1780,0,0,0,84254,-61176,79387,84337,-61165,79195,84720,-61361,79672,84591,-61299,79544,85489,-61590,79758,84992,-61428,79693,83274,-60820,79051,85976,-61725,79803
500,98231,-32901,-65333,92274,-86751,-3601,0,0,0,84016,-57089,76898,84106,-57079,76688,84456,-57291,77217,84329,-57222,77073,85207,-57541,77310,84722,-57364,77239,83064,-56700,76532,85690,-57690,77357
550,97860,-31115,-66748,92935,-85506,-5431,0,0,0,83795,-53097,74464,83893,-53087,74237,84210,-53314,74816,84086,-53239,74657,84945,-53585,74914,84472,-53393,74839,82871,-52676,74070,85424,-53748,74964
600,97455,-29318,-68140,93560,-84237,-7249,0,0,0,83592,-49198,72083,83696,-49188,71841,83983,-49429,72468,83861,-49348,72293,84702,-49720,72570,84240,-49514,72490,82694,-48747,71665,85177,-49896,72620
650,97016,-27511,-69508,94145,-82944,-9054,0,0,0,83405,-45389,69753,83515,-45381,69498,83773,-45633,70169,83654,-45548,69980,84477,-45944,70275,84026,-45724,70191,82532,-44909,69313,84949,-46132,70326
700,96541,-25694,-70850,94709,-81628,-10863,0,0,0,83235,-41670,67473,83351,-41662,67206,83581,-41926,67919,83464,-41835,67715,84270,-42256,68028,83830,-42023,67939,82386,-41163,67013,84739,-42456,68079
750,96032,-23867,-72168,95254,-80287,-12677,0,0,0,83082,-38038,65241,83202,-38031,64963,83406,-38306,65716,83292,-38210,65497,84081,-38653,65827,83651,-38408,65734,82255,-37505,64763,84546,-38865,65876
800,95490,-22033,-73460,95766,-78924,-14482,0,0,0,82944,-34492,63054,83068,-34486,62767,83248,-34770,63557,83135,-34669,63325,83908,-35134,63669,83489,-34877,63574,82139,-33933,62561,84370,-35358,63718
850,94913,-20190,-74726,96243,-77539,-16276,0,0,0,82821,-31029,60912,82949,-31025,60617,83106,-31317,61442,82995,-31212,61196,83753,-31697,61554,83343,-31429,61456,82037,-30447,60406,84211,-31932,61602
900,94303,-18341,-75965,96696,-76132,-18069,0,0,0,82714,-27649,58812,82845,-27646,58510,82981,-27946,59368,82871,-27836,59109,83614,-28342,59480,83214,-28063,59380,81950,-27044,58295,84069,-28587,59526
950,93659,-16485,-77177,97126,-74702,-19863,0,0,0,82621,-24350,56753,82756,-24348,56446,82871,-24655,57334,82763,-24541,57061,83491,-25065,57446,83100,-24776,57343,81877,-23723,56226,83943,-25321,57489
1000,92982,-14623,-78362,97525,-73251,-21649,0,0,0,82543,-21130,54734,82681,-21129,54421,82777,-21443,55338,82670,-21324,55053,83384,-21867,55449,83002,-21568,55344,81817,-20482,54199,83832,-22133,55489
1050,92272,-12755,-79519,97890,-71779,-23423,0,0,0,82480,-17987,52752,82619,-17987,52436,82698,-18307,53379,82591,-18184,53082,83293,-18744,53488,82919,-18436,53382,81771,-17320,52212,83737,-19020,53525
1100,91528,-10884,-80648,98228,-70287,-25193,0,0,0,82430,-14920,50806,82572,-14922,50489,82633,-15247,51456,82528,-15119,51146,83216,-15696,51562,82851,-15380,51455,81738,-14235,50262,83657,-15982,51595
1150,90753,-9008,-81748,98542,-68774,-26959,0,0,0,82394,-11928,48895,82537,-11931,48577,82583,-12260,49566,82479,-12129,49244,83155,-12722,49669,82797,-12397,49561,81719,-11225,48349,83592,-13017,49699
1200,89945,-7129,-82819,98824,-67241,-28716,0,0,0,82372,-9009,47018,82516,-9013,46699,82548,-9347,47709,82444,-9212,47375,83107,-9820,47808,82758,-9486,47699,81712,-8289,46471,83541,-10123,47834
1250,89106,-5248,-83861,99073,-65689,-30460,0,0,0,82362,-6161,45173,82508,-6167,44854,82526,-6504,45882,82422,-6365,45537,83074,-6988,45978,82732,-6647,45869,81717,-5425,44626,83504,-7300,45999
1300,88234,-3365,-84872,99294,-64119,-32196,0,0,0,82366,-3384,43358,82512,-3391,43041,82517,-3731,44086,82414,-3589,43730,83055,-4225,44177,82720,-3877,44067,81735,-2633,42814,83482,-4545,44194
1350,87331,-1480,-85854,99487,-62529,-33925,0,0,0,82382,-676,41572,82529,-684,41258,82522,-1027,42317,82419,-881,41951,83049,-1531,42404,82722,-1176,42294,81765,90,41032,83472,-1858,42416
1400,86398,405,-86805,99650,-60921,-35644,0,0,0,82410,1965,39815,82557,1955,39504,82540,1611,40577,82437,1760,40200,83056,1098,40657,82736,1459,40548,81806,2744,39279,83476,762,40664
1450,85433,2289,-87726,99780,-59296,-37348,0,0,0,82450,4540,38084,82597,4529,37778,82570,4182,38862,82467,4335,38475,83076,3661,38937,82763,4028,38828,81859,5332,37555,83492,3318,38939
1500,84439,4173,-88615,99880,-57653,-39042,0,0,0,82502,7050,36379,82649,7037,36078,82612,6689,37171,82510,6845,36775,83108,6160,37241,82802,6533,37133,81923,7854,35857,83521,5810,37237
1550,83414,6056,-89472,99951,-55994,-40725,0,0,0,82565,9496,34699,82712,9483,34403,82667,9133,35505,82564,9292,35099,83153,8596,35568,82853,8974,35461,81997,10312,34186,83561,8239,35559
1600,82359,7936,-90298,99991,-54318,-42395,0,0,0,82639,11880,33042,82785,11865,32753,82733,11515,33861,82629,11677,33446,83209,10970,33918,82915,11354,33811,82082,12707,32538,83614,10607,33903
1650,81276,9814,-91092,99998,-52627,-44050,0,0,0,82724,14203,31408,82869,14187,31125,82810,13836,32239,82706,14001,31816,83277,13285,32289,82989,13673,32184,82178,15041,30915,83678,12915,32268
1700,80163,11688,-91854,99975,-50920,-45691,0,0,0,82819,16466,29795,82964,16449,29520,82898,16097,30638,82794,16265,30206,83356,15540,30681,83074,15933,30576,82283,17314,29313,83753,15165,30654
1750,79022,13557,-92582,99922,-49198,-47319,0,0,0,82924,18671,28203,83068,18653,27936,82997,18300,29056,82892,18471,28617,83446,17737,29092,83169,18134,28989,82398,19527,27733,83839,17356,29059
1800,77853,15422,-93278,99837,-47462,-48932,0,0,0,83039,20818,26630,83182,20799,26372,83105,20446,27493,83000,20620,27046,83546,19877,27522,83275,20278,27420,82522,21683,26174,83935,19491,27483
1850,76656,17282,-93941,99720,-45712,-50527,0,0,0,83163,22908,25076,83305,22888,24827,83224,22535,25948,83118,22712,25494,83656,21962,25969,83390,22366,25869,82656,23782,24634,84041,21570,25924
1900,75432,19135,-94571,99572,-43949,-52107,0,0,0,83296,24944,23540,83437,24923,23300,83352,24570,24420,83246,24749,23959,83775,23992,24434,83515,24400,24336,82798,25825,23112,84157,23595,24382
1950,74181,20982,-95166,99392,-42172,-53671,0,0,0,83439,26925,22020,83578,26903,21791,83490,26551,22909,83383,26733,22441,83905,25968,22914,83650,26379,22818,82949,27814,21609,84282,25567,22856
