Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99998,-50013,-49987,59814,-65855,10320,-75,-1137,1650,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99999,-99999,-99999,99998,-99999,-99999,99998,-99999,-99999,99998
50,99980,-48372,-51611,60621,-65213,8914,-75,-1137,1650,86507,-97508,99999,86490,-97507,99998,87220,-97522,99999,87063,-97518,99998,88134,-97537,99999,87533,-97527,99998,85242,-97484,99998,88649,-97546,99998
100,99927,-46713,-53216,61398,-64547,7512,-75,-1137,1650,86329,-92585,98500,86312,-92580,98483,87030,-92625,98523,86879,-92613,98514,87934,-92671,98530,87343,-92639,98526,85082,-92512,98472,88446,-92697,98534
150,99840,-45039,-54804,62113,-63859,6146,-75,-1137,1650,85960,-87775,95547,85947,-87768,95495,86637,-87842,95614,86494,-87823,95590,87521,-87917,95637,86948,-87865,95623,84758,-87656,95462,88024,-87960,95648
200,99717,-43348,-56372,62735,-63149,4845,-75,-1137,1650,85588,-83075,92672,85586,-83065,92586,86235,-83166,92783,86099,-83140,92743,87097,-83270,92820,86543,-83198,92798,84438,-82912,92532,87594,-83328,92837
250,99558,-41641,-57919,63287,-62419,3589,-75,-1137,1650,85252,-78481,89863,85265,-78468,89742,85866,-78596,90018,85734,-78562,89961,86706,-78726,90067,86168,-78635,90038,84151,-78276,89673,87197,-78800,90089
300,99362,-39920,-59445,63816,-61671,2337,-75,-1137,1650,84944,-73992,87118,84973,-73977,86965,85524,-74128,87316,85396,-74088,87243,86344,-74285,87376,85821,-74176,87340,83884,-73747,86884,86829,-74374,87402
350,99132,-38185,-60950,64328,-60905,1082,-75,-1137,1650,84660,-69605,84435,84703,-69590,84253,85207,-69762,84675,85082,-69716,84587,86007,-69944,84745,85498,-69818,84703,83636,-69323,84161,86488,-70047,84774
400,98867,-36436,-62434,64801,-60122,-152,-75,-1137,1650,84396,-65320,81814,84452,-65303,81605,84911,-65496,82094,84789,-65443,81992,85692,-65701,82173,85196,-65559,82126,83404,-65002,81504,86170,-65819,82205
450,98567,-34674,-63895,65235,-59324,-1367,-75,-1137,1650,84151,-61133,79251,84219,-61116,79019,84635,-61327,79572,84515,-61268,79455,85399,-61555,79658,84915,-61397,79606,83189,-60781,78909,85874,-61687,79691
500,98231,-32900,-65334,65660,-58509,-2587,-75,-1137,1650,83925,-57043,76747,84003,-57026,76493,84380,-57254,77105,84261,-57190,76974,85126,-57504,77199,84653,-57331,77142,82991,-56658,76375,85598,-57649,77232
550,97861,-31115,-66749,66076,-57679,-3816,-75,-1137,1650,83716,-53048,74298,83804,-53031,74024,84143,-53275,74694,84026,-53205,74548,84873,-53545,74792,84411,-53358,74732,82810,-52632,73899,85342,-53703,74827
600,97456,-29318,-68141,66466,-56834,-5035,-75,-1137,1650,83524,-49146,71904,83621,-49129,71612,83924,-49388,72335,83809,-49312,72176,84638,-49678,72438,84186,-49477,72375,82643,-48701,71481,85104,-49849,72472
650,97016,-27510,-69508,66828,-55975,-6243,-75,-1137,1650,83348,-45336,69562,83453,-45319,69253,83722,-45591,70027,83608,-45510,69854,84421,-45900,70133,83979,-45686,70067,82491,-44862,69118,84885,-46083,70166
700,96541,-25693,-70851,67178,-55101,-7455,-75,-1137,1650,83188,-41615,67270,83301,-41599,66947,83538,-41882,67769,83425,-41796,67582,84222,-42210,67877,83790,-41983,67808,82355,-41114,66807,84684,-42405,67909
750,96033,-23867,-72168,67519,-54212,-8672,-75,-1137,1650,83044,-37982,65027,83164,-37967,64691,83371,-38260,65557,83259,-38169,65357,84040,-38606,65668,83617,-38367,65596,82233,-37455,64547,84499,-38812,65697
800,95490,-22033,-73460,67838,-53309,-9884,-75,-1137,1650,82915,-34434,62831,83041,-34420,62484,83219,-34723,63392,83109,-34627,63178,83875,-35086,63503,83461,-34835,63430,82126,-33883,62336,84332,-35304,63531
850,94913,-20190,-74726,68133,-52392,-11086,-75,-1137,1650,82801,-30971,60680,82933,-30958,60323,83084,-31270,61270,82975,-31169,61043,83726,-31648,61381,83321,-31386,61306,82032,-30396,60173,84181,-31877,61407
900,94303,-18340,-75965,68414,-51462,-12289,-75,-1137,1650,82701,-27590,58572,82839,-27579,58207,82965,-27898,59190,82856,-27793,58951,83594,-28292,59301,83197,-28019,59224,81953,-26993,58054,84045,-28531,59324
950,93659,-16484,-77178,68682,-50517,-13495,-75,-1137,1650,82617,-24291,56507,82759,-24281,56134,82861,-24607,57151,82753,-24497,56899,83477,-25015,57261,83089,-24732,57183,81887,-23672,55980,83926,-25265,57280
1000,92982,-14622,-78363,68931,-49559,-14695,-75,-1137,1650,82546,-21070,54481,82693,-21062,54103,82773,-21394,55151,82665,-21280,54887,83376,-21816,55259,82996,-21523,55180,81834,-20431,53948,83822,-22076,55275
1050,92272,-12755,-79520,69156,-48589,-15887,-75,-1137,1650,82490,-17927,52494,82640,-17921,52111,82699,-18258,53187,82591,-18140,52911,83290,-18693,53294,82917,-18392,53214,81795,-17269,51956,83733,-18963,53306
1100,91529,-10883,-80648,69365,-47606,-17076,-75,-1137,1650,82447,-14861,50544,82601,-14856,50158,82640,-15198,51261,82532,-15075,50973,83219,-15645,51365,82854,-15335,51283,81768,-14185,50002,83659,-15925,51372
1150,90753,-9008,-81748,69560,-46609,-18265,-75,-1137,1650,82417,-11869,48629,82574,-11866,48242,82595,-12212,49368,82487,-12085,49068,83162,-12671,49468,82804,-12352,49387,81755,-11175,48086,83600,-12959,49472
