Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 1    A I-branch,SBUS B 1    B I-branch,SBUS C 1    C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   PV003V I-branch,TACS   PV003I I-branch,TACS   PV003W I-branch,TACS   PV004V I-branch,TACS   PV004I I-branch,TACS   PV004W I-branch,TACS   PV005V I-branch,TACS   PV005I I-branch,TACS   PV005W I-branch,TACS   PV006V I-branch,TACS   PV006I I-branch,TACS   PV006W I-branch,TACS   PV007V I-branch,TACS   PV007I I-branch,TACS   PV007W I-branch,TACS   PV008V I-branch,TACS   PV008I I-branch,TACS   PV008W I-branch
0,99992,-50011,-49984,83374,-97558,15363,-16887,0,0,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999,-99999,-99999,99999
50,99974,-48370,-51608,84542,-96604,13344,-16887,0,0,86676,-97511,99999,86695,-97510,99999,87351,-97524,99999,87179,-97520,99999,88268,-97540,99999,87649,-97529,99999,85403,-97487,99999,88801,-97549,99999
100,99921,-46712,-53213,85669,-95616,11330,-16887,0,0,86498,-92594,98510,86517,-92591,98495,87162,-92633,98530,86994,-92620,98521,88068,-92679,98538,87459,-92646,98532,85243,-92520,98482,88598,-92705,98542
150,99834,-45037,-54800,86720,-94595,9354,-16887,0,0,86127,-87790,95576,86149,-87785,95533,86767,-87854,95636,86609,-87833,95609,87654,-87929,95658,87064,-87875,95641,84915,-87670,95494,88175,-87973,95671
200,99710,-43346,-56367,87664,-93540,7446,-16887,0,0,85749,-83095,92720,85779,-83089,92648,86361,-83182,92819,86210,-83154,92774,87227,-83286,92855,86655,-83212,92828,84586,-82931,92584,87740,-83346,92876
250,99551,-41640,-57914,88522,-92455,5588,-16887,0,0,85403,-78507,89930,85445,-78499,89829,85985,-78616,90067,85840,-78580,90005,86830,-78747,90116,86275,-78653,90080,84286,-78300,89745,87337,-78823,90143
300,99356,-39919,-59440,89348,-91341,3732,-16887,0,0,85084,-74022,87203,85138,-74013,87076,85636,-74152,87378,85495,-74110,87299,86460,-74309,87438,85921,-74198,87394,84006,-73776,86975,86961,-74401,87471
350,99126,-38184,-60945,90148,-90199,1873,-16887,0,0,84788,-69640,84538,84852,-69631,84387,85310,-69790,84751,85173,-69740,84654,86114,-69972,84820,85590,-69843,84769,83745,-69356,84270,86610,-70079,84858
400,98861,-36435,-62429,90896,-89031,37,-16887,0,0,84511,-65359,81933,84585,-65349,81761,85005,-65527,82183,84872,-65471,82070,85791,-65733,82261,85281,-65587,82202,83500,-65038,81630,86282,-65854,82303
450,98561,-34673,-63890,91595,-87837,-1778,-16887,0,0,84254,-61176,79387,84337,-61165,79195,84720,-61361,79672,84591,-61299,79544,85489,-61590,79758,84992,-61428,79693,83274,-60820,79051,85976,-61725,79803
500,98225,-32899,-65329,92274,-86618,-3600,-16887,0,0,84016,-57089,76898,84106,-57079,76688,84456,-57291,77217,84329,-57222,77073,85207,-57541,77310,84722,-57364,77239,83064,-56700,76532,85690,-57690,77357
550,97855,-31114,-66744,92935,-85374,-5429,-16887,0,0,83795,-53097,74464,83893,-53087,74237,84210,-53314,74816,84086,-53239,74657,84945,-53585,74914,84472,-53393,74839,82871,-52676,74070,85424,-53748,74964
600,97450,-29317,-68136,93560,-84106,-7248,-16887,0,0,83592,-49198,72083,83696,-49188,71841,83983,-49429,72468,83861,-49348,72293,84702,-49720,72570,84240,-49514,72490,82694,-48747,71665,85177,-49896,72620
650,97010,-27510,-69503,94145,-82814,-9053,-16887,0,0,83405,-45389,69753,83515,-45381,69498,83773,-45633,70169,83654,-45548,69980,84477,-45944,70275,84026,-45724,70191,82532,-44909,69313,84949,-46132,70326
700,96535,-25693,-70846,94709,-81498,-10862,-16887,0,0,83235,-41670,67473,83351,-41662,67206,83581,-41926,67919,83464,-41835,67715,84270,-42256,68028,83830,-42023,67939,82386,-41163,67013,84739,-42456,68079
750,96027,-23867,-72163,95254,-80159,-12676,-16887,0,0,83082,-38038,65241,83202,-38031,64963,83406,-38306,65716,83292,-38210,65497,84081,-38653,65827,83651,-38408,65734,82255,-37505,64763,84546,-38865,65876
800,95484,-22032,-73455,95766,-78797,-14481,-16887,0,0,82944,-34492,63054,83068,-34486,62767,83248,-34770,63557,83135,-34669,63325,83908,-35134,63669,83489,-34877,63574,82139,-33933,62561,84370,-35358,63718
850,94908,-20190,-74721,96243,-77413,-16275,-16887,0,0,82821,-31029,60912,82949,-31025,60617,83106,-31317,61442,82995,-31212,61196,83753,-31697,61554,83343,-31429,61456,82037,-30447,60406,84211,-31932,61602
900,94297,-18340,-75960,96696,-76006,-18068,-16887,0,0,82714,-27649,58812,82845,-27646,58510,82981,-27946,59368,82871,-27836,59109,83614,-28342,59480,83214,-28063,59380,81950,-27044,58295,84069,-28587,59526
950,93653,-16484,-77172,97126,-74577,-19862,-16887,0,0,82621,-24350,56753,82756,-24348,56446,82871,-24655,57334,82763,-24541,57061,83491,-25065,57446,83100,-24776,57343,81877,-23723,56226,83943,-25321,57489
1000,92976,-14622,-78357,97525,-73127,-21648,-16887,0,0,82543,-21130,54734,82681,-21129,54421,82777,-21443,55338,82670,-21324,55053,83384,-21867,55449,83002,-21568,55344,81817,-20482,54199,83832,-22133,55489
1050,92266,-12755,-79514,97890,-71657,-23422,-16887,0,0,82480,-17987,52752,82619,-17987,52436,82698,-18307,53379,82591,-18184,53082,83293,-18744,53488,82919,-18436,53382,81771,-17320,52212,83737,-19020,53525
1100,91523,-10883,-80642,98228,-70166,-25192,-16887,0,0,82430,-14920,50806,82572,-14922,50489,82633,-15247,51456,82528,-15119,51146,83216,-15696,51562,82851,-15380,51455,81738,-14235,50262,83657,-15982,51595
1150,90748,-9008,-81742,98542,-68654,-26958,-16887,0,0,82394,-11928,48895,82537,-11931,48577,82583,-12260,49566,82479,-12129,49244,83155,-12722,49669,82797,-12397,49561,81719,-11225,48349,83592,-13017,49699
1200,89940,-7129,-82813,98824,-67122,-28715,-16887,0,0,82372,-9009,47018,82516,-9013,46699,82548,-9347,47709,82444,-9212,47375,83107,-9820,47808,82758,-9486,47699,81712,-8289,46471,83541,-10123,47834
1250,89100,-5248,-83855,99073,-65571,-30459,-16887,0,0,82362,-6161,45173,82508,-6167,44854,82526,-6504,45882,82422,-6365,45537,83074,-6988,45978,82732,-6647,45869,81717,-5425,44626,83504,-7300,45999
