Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86604,-8,-86597,12217,-8188,-7907,2237,-8022,6563,-99999,-99999,-99999,-99999,-99999,97438,-99999,-99999,97438,-99999,-99999,-99999,-99999,-99999,97438
50,85646,1877,-87524,12174,-8038,-8024,2237,-8022,6563,-99984,-97525,62162,87106,-98222,97438,87106,-97777,97438,-99984,-97529,62162,87106,-98222,97438
100,84659,3761,-88421,12121,-7887,-8132,2237,-8022,6563,-99655,-92636,62162,87153,-94711,97441,87153,-93389,97441,-99655,-92648,62162,87153,-94711,97441
150,83641,5644,-89286,12052,-7737,-8223,2237,-8022,6563,-98956,-87868,61968,87297,-91288,97456,87297,-89110,97456,-98956,-87888,61968,87297,-91288,97456
200,82593,7525,-90119,11972,-7587,-8304,2237,-8022,6563,-98243,-83218,61673,87485,-87953,97478,87485,-84942,97478,-98243,-83246,61673,87485,-87953,97478
250,81516,9403,-90920,11891,-7439,-8381,2237,-8022,6563,-97543,-78682,61483,87687,-84704,97499,87687,-80881,97499,-97543,-78718,61483,87687,-84704,97499
300,80410,11278,-91688,11807,-7291,-8455,2237,-8022,6563,-96876,-74259,61310,87884,-81539,97521,87884,-76924,97521,-96876,-74302,61310,87884,-81539,97521
350,79275,13149,-92424,11720,-7145,-8525,2237,-8022,6563,-96239,-69945,61146,88077,-78456,97544,88077,-73071,97544,-96239,-69995,61146,88077,-78456,97544
400,78112,15015,-93128,11631,-7000,-8590,2237,-8022,6563,-95633,-65737,60987,88265,-75452,97566,88265,-69316,97566,-95633,-65794,60987,88265,-75453,97566
450,76921,16875,-93798,11538,-6857,-8651,2237,-8022,6563,-95056,-61633,60833,88450,-72527,97589,88450,-65659,97589,-95056,-61697,60833,88450,-72527,97589
500,75703,18730,-94435,11442,-6714,-8707,2237,-8022,6563,-94509,-57631,60683,88632,-69677,97613,88632,-62097,97613,-94509,-57701,60683,88632,-69677,97613
550,74459,20578,-95038,11342,-6574,-8758,2237,-8022,6563,-93991,-53727,60539,88809,-66900,97637,88809,-58626,97637,-93991,-53804,60539,88809,-66901,97637
600,73187,22419,-95608,11239,-6434,-8805,2237,-8022,6563,-93503,-49920,60398,88984,-64196,97661,88984,-55246,97661,-93503,-50003,60398,88984,-64197,97661
650,71890,24252,-96143,11133,-6297,-8846,2237,-8022,6563,-93045,-46206,60263,89155,-61561,97685,89155,-51953,97685,-93045,-46296,60263,89155,-61562,97685
700,70567,26077,-96645,11024,-6161,-8883,2237,-8022,6563,-92616,-42585,60133,89323,-58995,97709,89323,-48745,97709,-92616,-42681,60133,89323,-58996,97709
750,69219,27892,-97112,10912,-6027,-8914,2237,-8022,6563,-92216,-39053,60009,89488,-56495,97734,89488,-45620,97734,-92216,-39155,60009,89488,-56496,97734
800,67846,29697,-97544,10796,-5895,-8941,2237,-8022,6563,-91846,-35608,59890,89651,-54060,97759,89651,-42576,97759,-91846,-35715,59890,89651,-54061,97759
850,66450,31491,-97942,10679,-5765,-8962,2237,-8022,6563,-91504,-32248,59778,89810,-51688,97784,89810,-39611,97784,-91504,-32361,59778,89810,-51689,97784
900,65029,33275,-98305,10559,-5638,-8980,2237,-8022,6563,-91191,-28971,59672,89967,-49377,97810,89967,-36723,97810,-91191,-29090,59672,89967,-49379,97810
950,63586,35046,-98633,10438,-5513,-8992,2237,-8022,6563,-90907,-25775,59573,90120,-47127,97836,90120,-33910,97836,-90907,-25899,59573,90120,-47128,97836
1000,62120,36805,-98927,10315,-5390,-9001,2237,-8022,6563,-90651,-22658,59481,90272,-44935,97862,90272,-31170,97862,-90651,-22787,59481,90272,-44936,97862
1050,60632,38551,-99184,10191,-5271,-9006,2237,-8022,6563,-90423,-19618,59398,90420,-42799,97888,90420,-28501,97888,-90423,-19752,59398,90420,-42801,97888
1100,59122,40284,-99407,10066,-5154,-9007,2237,-8022,6563,-90224,-16653,59324,90566,-40719,97915,90566,-25901,97915,-90224,-16792,59324,90566,-40721,97915
1150,57591,42002,-99595,9941,-5040,-9004,2237,-8022,6563,-90052,-13761,59259,90709,-38693,97941,90709,-23369,97941,-90052,-13905,59259,90709,-38695,97941
1200,56040,43705,-99747,9816,-4929,-8999,2237,-8022,6563,-89908,-10940,59204,90849,-36720,97969,90849,-20902,97969,-89908,-11089,59204,90849,-36722,97969
1250,54469,45393,-99863,9691,-4821,-8991,2237,-8022,6563,-89792,-8189,59160,90986,-34798,97997,90986,-18500,97997,-89792,-8343,59160,90986,-34800,97997
1300,52879,47064,-99944,9567,-4716,-8980,2237,-8022,6563,-89702,-5507,59129,91121,-32926,98025,91121,-16160,98025,-89702,-5665,59129,91121,-32928,98025
1350,51269,48719,-99990,9444,-4614,-8966,2237,-8022,6563,-89640,-2890,59110,91254,-31102,98054,91254,-13880,98054,-89640,-3052,59110,91254,-31104,98054
1400,49642,50356,-99999,9323,-4516,-8951,2237,-8022,6563,-89603,-338,59107,91383,-29326,98083,91383,-11660,98083,-89603,-505,59107,91383,-29328,98083
1450,47997,51976,-99974,9203,-4420,-8934,2237,-8022,6563,-89593,2151,59119,91510,-27596,98113,91510,-9498,98113,-89593,1980,59119,91510,-27598,98113
1500,46334,53577,-99913,9084,-4328,-8915,2237,-8022,6563,-89609,4579,59149,91635,-25912,98143,91635,-7392,98143,-89609,4404,59149,91635,-25913,98143
1550,44656,55159,-99816,8968,-4238,-8895,2237,-8022,6563,-89650,6946,59198,91757,-24271,98173,91757,-5341,98173,-89650,6767,59198,91757,-24272,98173
1600,42961,56721,-99684,8853,-4152,-8874,2237,-8022,6563,-89715,9255,59269,91877,-22672,98205,91877,-3343,98205,-89715,9073,59269,91877,-22674,98205
1650,41251,58264,-99517,8740,-4068,-8852,2237,-8022,6563,-89805,11508,59364,91994,-21116,98236,91994,-1397,98236,-89805,11321,59364,91994,-21118,98236
1700,39527,59785,-99314,8630,-3987,-8828,2237,-8022,6563,-89918,13704,59487,92109,-19599,98268,92109,498,98268,-89918,13514,59487,92109,-19601,98268
1750,37788,61285,-99076,8521,-3909,-8804,2237,-8022,6563,-90054,15846,59640,92221,-18123,98301,92221,2344,98301,-90054,15653,59640,92221,-18125,98301
1800,36036,62764,-98802,8414,-3833,-8780,2237,-8022,6563,-90213,17936,59827,92331,-16684,98334,92331,4142,98334,-90213,17738,59827,92331,-16686,98334
1850,34272,64220,-98494,8309,-3760,-8754,2237,-8022,6563,-90392,19974,60055,92440,-15284,98367,92440,5893,98367,-90392,19773,60055,92440,-15286,98367
1900,32495,65654,-98150,8206,-3688,-8728,2237,-8022,6563,-90591,21961,60328,92546,-13919,98401,92546,7598,98401,-90591,21757,60328,92546,-13922,98401
1950,30706,67064,-97772,8105,-3619,-8701,2237,-8022,6563,-90809,23900,60653,92650,-12591,98435,92650,9259,98435,-90809,23692,60653,92650,-12593,98435
2000,28907,68450,-97359,8005,-3552,-8674,2237,-8022,6563,-91044,25790,61040,92752,-11297,98470,92752,10876,98470,-91044,25580,61040,92752,-11299,98470
2050,27097,69812,-96911,7906,-3487,-8646,2237,-8022,6563,-91294,27634,61500,92852,-10036,98505,92852,12452,98505,-91294,27420,61500,92852,-10039,98505
2100,25278,71149,-96429,7808,-3423,-8616,2237,-8022,6563,-91557,29432,62045,92951,-8809,98539,92951,13986,98539,-91557,29216,62045,92951,-8811,98539
2150,23450,72461,-95913,7711,-3362,-8586,2237,-8022,6563,-91830,31186,62692,93048,-7614,98574,93048,15480,98574,-91830,30967,62692,93048,-7616,98574
2200,21614,73747,-95362,7614,-3302,-8555,2237,-8022,6563,-92108,32897,63464,93143,-6450,98609,93143,16935,98609,-92108,32675,63464,93143,-6452,98609
