Time,SBUS A          V-node,SBUS B          V-node,SBUS C          V-node,SBUS A 22   A I-branch,SBUS B 22   B I-branch,SBUS C 22   C I-branch,FAULTA        I-branch,FAULTB        I-branch,FAULTC        I-branch,TACS   PV001V I-branch,TACS   PV001I I-branch,TACS   PV001W I-branch,TACS   PV002V I-branch,TACS   PV002I I-branch,TACS   PV002W I-branch,TACS   ST001V I-branch,TACS   ST001I I-branch,TACS   ST001W I-branch,TACS   ST002V I-branch,TACS   ST002I I-branch,TACS   ST002W I-branch,TACS   ST003V I-branch,TACS   ST003I I-branch,TACS   ST003W I-branch
0,86606,-13,-86596,99999,-25023,-63050,0,0,0,-99999,-99999,-99999,-99999,-99999,-9116,-99999,-99999,-9116,-99999,-99999,-99999,-99999,-99999,-9116
50,85648,1872,-87523,99815,-23022,-64637,0,0,0,-99983,-97036,62516,91853,-97426,-9116,91853,-97426,-9116,-99983,-97529,62516,91853,-97426,-9116
100,84660,3756,-88419,99575,-21013,-66183,0,0,0,-99647,-91182,62516,91873,-92344,-10862,91873,-92344,-10862,-99647,-92649,62516,91873,-92344,-10862
150,83643,5639,-89284,99249,-18997,-67666,0,0,0,-98939,-85472,62325,91950,-87388,-12380,91950,-87388,-12380,-98939,-87890,62325,91950,-87388,-12380
200,82595,7520,-90117,98851,-16973,-69096,0,0,0,-98222,-79903,62031,92053,-82557,-11964,92053,-82557,-11964,-98222,-83248,62031,92053,-82557,-11964
250,81518,9398,-90918,98408,-14944,-70493,0,0,0,-97513,-74472,61838,92167,-77848,-11527,92167,-77848,-11527,-97513,-78720,61838,92167,-77848,-11527
300,80412,11273,-91687,97926,-12914,-71861,0,0,0,-96832,-69175,61663,92283,-73258,-10966,92283,-73258,-10966,-96832,-74305,61663,92283,-73258,-10966
350,79277,13144,-92423,97407,-10882,-73199,0,0,0,-96180,-64009,61496,92397,-68785,-10301,92397,-68785,-10301,-96180,-69998,61496,92397,-68785,-10301
400,78114,15010,-93127,96851,-8849,-74506,0,0,0,-95559,-58970,61336,92510,-64425,-9490,92510,-64425,-9490,-95559,-65798,61336,92510,-64425,-9490
450,76923,16871,-93797,96256,-6817,-75782,0,0,0,-94969,-54056,61181,92621,-60176,-8555,92621,-60176,-8555,-94969,-61702,61181,92621,-60176,-8555
500,75705,18725,-94434,95622,-4785,-77025,0,0,0,-94408,-49263,61030,92731,-56035,-7515,92731,-56035,-7515,-94408,-57707,61030,92731,-56035,-7515
550,74460,20574,-95037,94949,-2754,-78236,0,0,0,-93877,-44589,60884,92840,-51999,-6351,92840,-51999,-6351,-93877,-53810,60884,92840,-51999,-6351
600,73189,22414,-95607,94237,-725,-79412,0,0,0,-93376,-40030,60743,92948,-48066,-5104,92948,-48066,-5104,-93376,-50009,60743,92948,-48066,-5104
650,71892,24247,-96142,93486,1301,-80555,0,0,0,-92905,-35583,60606,93054,-44232,-3753,93054,-44232,-3753,-92905,-46303,60606,93054,-44232,-3753
700,70569,26072,-96644,92697,3322,-81662,0,0,0,-92464,-31246,60475,93159,-40496,-2339,93159,-40496,-2339,-92464,-42688,60475,93159,-40496,-2339
750,69221,27887,-97111,91871,5339,-82735,0,0,0,-92052,-27016,60349,93263,-36855,-842,93263,-36855,-842,-92052,-39162,60349,93263,-36855,-842
800,67848,29692,-97543,91009,7350,-83772,0,0,0,-91670,-22891,60229,93366,-33307,717,93366,-33307,717,-91670,-35723,60229,93366,-33307,717
850,66452,31486,-97941,90111,9354,-84775,0,0,0,-91316,-18868,60115,93468,-29848,2338,93468,-29848,2338,-91316,-32369,60115,93468,-29848,2338
900,65031,33270,-98304,89180,11350,-85742,0,0,0,-90992,-14944,60007,93569,-26478,4022,93569,-26478,4022,-90992,-29098,60007,93569,-26478,4022
950,63588,35041,-98633,88216,13336,-86675,0,0,0,-90697,-11117,59906,93669,-23194,5768,93669,-23194,5768,-90697,-25908,59906,93669,-23194,5768
1000,62122,36800,-98926,87221,15311,-87574,0,0,0,-90430,-7384,59813,93768,-19994,7556,93768,-19994,7556,-90430,-22797,59813,93768,-19994,7556
1050,60634,38546,-99184,86198,17275,-88438,0,0,0,-90191,-3743,59727,93865,-16875,9385,93865,-16875,9385,-90191,-19762,59727,93865,-16875,9385
1100,59124,40279,-99407,85146,19227,-89269,0,0,0,-89981,-193,59650,93962,-13835,11277,93962,-13836,11277,-89981,-16802,59650,93962,-13835,11277
1150,57594,41997,-99594,84068,21165,-90066,0,0,0,-89799,3270,59582,94058,-10874,13210,94058,-10874,13210,-89799,-13915,59582,94058,-10874,13210
1200,56043,43700,-99746,82966,23088,-90831,0,0,0,-89645,6648,59524,94153,-7988,15206,94153,-7988,15206,-89645,-11100,59524,94153,-7988,15206
1250,54472,45388,-99863,81840,24995,-91563,0,0,0,-89518,9942,59477,94246,-5175,17222,94246,-5175,17222,-89518,-8354,59477,94246,-5175,17222
1300,52881,47059,-99944,80693,26887,-92263,0,0,0,-89418,13154,59441,94339,-2435,19301,94339,-2435,19301,-89418,-5676,59441,94339,-2435,19301
1350,51272,48714,-99989,79525,28761,-92931,0,0,0,-89345,16288,59417,94431,236,21421,94431,236,21421,-89345,-3064,59417,94431,236,21421
1400,49645,50351,-99999,78338,30617,-93568,0,0,0,-89299,19344,59408,94521,2838,23604,94521,2838,23604,-89299,-517,59408,94521,2838,23604
1450,48000,51971,-99974,77133,32456,-94175,0,0,0,-89279,22324,59414,94611,5373,25807,94611,5373,25807,-89279,1968,59414,94611,5373,25807
1500,46337,53572,-99913,75911,34276,-94751,0,0,0,-89284,25231,59436,94699,7844,28073,94699,7844,28073,-89284,4391,59436,94699,7844,28073
1550,44659,55154,-99817,74671,36076,-95297,0,0,0,-89315,28067,59477,94787,10251,30360,94787,10251,30360,-89315,6754,59477,94787,10251,30360
1600,42964,56716,-99685,73417,37857,-95813,0,0,0,-89370,30832,59538,94873,12597,32688,94873,12597,32688,-89370,9059,59538,94873,12597,32688
1650,41255,58259,-99517,72146,39619,-96299,0,0,0,-89450,33529,59622,94959,14882,35058,94959,14882,35058,-89450,11308,59622,94959,14882,35058
1700,39530,59780,-99315,70861,41360,-96756,0,0,0,-89553,36159,59731,95043,17109,37448,95043,17109,37448,-89553,13500,59731,95043,17109,37448
1750,37792,61281,-99077,69561,43082,-97183,0,0,0,-89680,38724,59868,95126,19279,39860,95126,19279,39860,-89680,15639,59868,95126,19279,39860
1800,36040,62759,-98803,68247,44783,-97580,0,0,0,-89828,41227,60037,95209,21393,42313,95209,21393,42313,-89828,17724,60037,95209,21393,42313
1850,34276,64216,-98495,66918,46463,-97948,0,0,0,-89998,43667,60243,95290,23452,44766,95290,23452,44766,-89998,19758,60243,95290,23452,44766
1900,32499,65649,-98152,65575,48123,-98287,0,0,0,-90188,46047,60490,95371,25459,47219,95371,25459,47219,-90188,21742,60490,95371,25459,47219
1950,30710,67059,-97773,64217,49763,-98596,0,0,0,-90397,48368,60785,95450,27414,49672,95450,27414,49672,-90397,23677,60785,95450,27414,49672
2000,28911,68446,-97361,62846,51381,-98875,0,0,0,-90624,50632,61135,95529,29319,52125,95529,29319,52125,-90624,25564,61135,95529,29319,52125
2050,27102,69807,-96913,61459,52979,-99123,0,0,0,-90866,52840,61550,95607,31174,54577,95607,31174,54577,-90866,27405,61550,95607,31174,54577
2100,25283,71145,-96431,60058,54556,-99342,0,0,0,-91122,54993,62039,95684,32982,56989,95684,32982,56989,-91122,29200,62039,95684,32982,56989
2150,23454,72457,-95915,58642,56111,-99530,0,0,0,-91389,57094,62618,95760,34743,59400,95760,34743,59400,-91389,30951,62618,95760,34743,59400
2200,21618,73743,-95365,57211,57645,-99687,0,0,0,-91664,59142,63304,95835,36459,61770,95835,36459,61770,-91664,32659,63304,95835,36459,61770
2250,19774,75003,-94780,55766,59156,-99812,0,0,0,-91941,61140,64118,95910,38131,64098,95910,38131,64098,-91941,34324,64118,95910,38131,64098
