 Time         , Voltage      , Voltage      , Voltage      , Current      , Current      , Current      , Current      
 Second       , SBUS A       , SBUS B       , SBUS C       , HXX004       , SBUS A       , SBUS B       , SBUS C       
              ,              ,              ,              , HXX010       , 25   A       , 25   B       , 25   C       
 0.000000e+000, 3.390286e+003,-1.725060e+003,-1.666293e+003, 0.000000e+000, 3.164660e+002,-8.367213e+001,-1.465411e+002
 5.000000e-005, 3.390515e+003,-1.669568e+003,-1.721786e+003, 3.684206e-007, 3.168372e+002,-7.994370e+001,-1.506286e+002
 1.000000e-004, 3.424067e+003,-1.642976e+003,-1.786414e+003, 0.000000e+000, 3.147730e+002,-7.420267e+001,-1.540070e+002
 1.500000e-004, 3.445855e+003,-1.613599e+003,-1.848970e+003, 0.000000e+000, 3.086640e+002,-6.461773e+001,-1.561168e+002
 2.000000e-004, 3.441310e+003,-1.556536e+003,-1.904658e+003, 0.000000e+000, 3.009163e+002,-5.316942e+001,-1.574735e+002
 2.500000e-004, 3.442765e+003,-1.505504e+003,-1.959871e+003, 0.000000e+000, 2.927380e+002,-4.124536e+001,-1.584819e+002
 3.000000e-004, 3.436673e+003,-1.447972e+003,-2.012346e+003, 0.000000e+000, 2.840721e+002,-2.880884e+001,-1.592658e+002
 3.500000e-004, 3.436110e+003,-1.395393e+003,-2.066176e+003, 0.000000e+000, 2.748933e+002,-1.589840e+001,-1.598232e+002
 4.000000e-004, 3.431031e+003,-1.339818e+003,-2.117949e+003, 0.000000e+000, 2.649732e+002,-2.319617e+000,-1.601039e+002
 4.500000e-004, 3.427542e+003,-1.285561e+003,-2.170708e+003, 0.000000e+000, 2.543488e+002, 1.187425e+001,-1.600802e+002
 5.000000e-004, 3.421927e+003,-1.230694e+003,-2.221943e+003, 0.000000e+000, 2.428969e+002, 2.678777e+001,-1.596860e+002
 5.500000e-004, 3.415097e+003,-1.174429e+003,-2.273370e+003, 0.000000e+000, 2.306835e+002, 4.233969e+001,-1.589065e+002
 6.000000e-004, 3.407417e+003,-1.119160e+003,-2.323906e+003, 0.000000e+000, 2.176893e+002, 5.855408e+001,-1.576821e+002
