 Time         , Voltage      , Voltage      , Voltage      , Current      , Current      , Current      , Current      
 Second       , SBUS A       , SBUS B       , SBUS C       , HXX004       , SBUS A       , SBUS B       , SBUS C       
              ,              ,              ,              , HXX010       , 25   A       , 25   B       , 25   C       
 0.000000e+000, 3.390285e+003,-1.725061e+003,-1.666293e+003, 0.000000e+000, 3.164446e+002,-8.367796e+001,-1.465445e+002
 5.000000e-005, 3.390513e+003,-1.669568e+003,-1.721786e+003, 3.684206e-007, 3.168160e+002,-7.994946e+001,-1.506319e+002
 1.000000e-004, 3.424323e+003,-1.642990e+003,-1.786436e+003, 0.000000e+000, 3.147346e+002,-7.420743e+001,-1.540088e+002
 1.500000e-004, 3.445923e+003,-1.613596e+003,-1.848948e+003, 0.000000e+000, 3.086038e+002,-6.462167e+001,-1.561187e+002
 2.000000e-004, 3.441354e+003,-1.556532e+003,-1.904651e+003, 0.000000e+000, 3.008486e+002,-5.317383e+001,-1.574774e+002
 2.500000e-004, 3.442805e+003,-1.505501e+003,-1.959867e+003, 0.000000e+000, 2.926648e+002,-4.125026e+001,-1.584865e+002
 3.000000e-004, 3.436643e+003,-1.447969e+003,-2.012339e+003, 0.000000e+000, 2.839982e+002,-2.881414e+001,-1.592711e+002
 3.500000e-004, 3.436177e+003,-1.395396e+003,-2.066186e+003, 0.000000e+000, 2.748170e+002,-1.590366e+001,-1.598284e+002
 4.000000e-004, 3.430971e+003,-1.339816e+003,-2.117940e+003, 0.000000e+000, 2.648965e+002,-2.324727e+000,-1.601090e+002
 4.500000e-004, 3.427623e+003,-1.285567e+003,-2.170724e+003, 0.000000e+000, 2.542708e+002, 1.186946e+001,-1.600847e+002
 5.000000e-004, 3.421859e+003,-1.230694e+003,-2.221933e+003, 0.000000e+000, 2.428181e+002, 2.678340e+001,-1.596901e+002
 5.500000e-004, 3.415175e+003,-1.174433e+003,-2.273387e+003, 0.000000e+000, 2.306041e+002, 4.233569e+001,-1.589101e+002
 6.000000e-004, 3.407357e+003,-1.119162e+003,-2.323899e+003, 0.000000e+000, 2.176088e+002, 5.855056e+001,-1.576849e+002
