 Time         , Voltage      , Voltage      , Voltage      , Current      , Current      , Current      , Current      
 Second       , SBUS A       , SBUS B       , SBUS C       , HXX004       , SBUS A       , SBUS B       , SBUS C       
              ,              ,              ,              , HXX010       , 25   A       , 25   B       , 25   C       
 0.000000e+000, 3.390286e+003,-1.725060e+003,-1.666293e+003, 0.000000e+000, 3.164616e+002,-8.367216e+001,-1.465422e+002
 5.000000e-005, 3.390514e+003,-1.669568e+003,-1.721786e+003, 3.684206e-007, 3.168329e+002,-7.994373e+001,-1.506296e+002
 1.000000e-004, 3.423984e+003,-1.642970e+003,-1.786396e+003, 0.000000e+000, 3.147744e+002,-7.420313e+001,-1.540092e+002
 1.500000e-004, 3.445816e+003,-1.613598e+003,-1.848985e+003, 0.000000e+000, 3.086735e+002,-6.461863e+001,-1.561192e+002
 2.000000e-004, 3.441295e+003,-1.556540e+003,-1.904663e+003, 0.000000e+000, 3.009294e+002,-5.317011e+001,-1.574746e+002
 2.500000e-004, 3.442750e+003,-1.505506e+003,-1.959872e+003, 0.000000e+000, 2.927531e+002,-4.124567e+001,-1.584826e+002
 3.000000e-004, 3.436683e+003,-1.447972e+003,-2.012351e+003, 0.000000e+000, 2.840875e+002,-2.880901e+001,-1.592660e+002
 3.500000e-004, 3.436090e+003,-1.395394e+003,-2.066168e+003, 0.000000e+000, 2.749095e+002,-1.589853e+001,-1.598236e+002
 4.000000e-004, 3.431049e+003,-1.339816e+003,-2.117957e+003, 0.000000e+000, 2.649895e+002,-2.319852e+000,-1.601043e+002
 4.500000e-004, 3.427516e+003,-1.285561e+003,-2.170697e+003, 0.000000e+000, 2.543656e+002, 1.187391e+001,-1.600807e+002
 5.000000e-004, 3.421947e+003,-1.230691e+003,-2.221951e+003, 0.000000e+000, 2.429140e+002, 2.678727e+001,-1.596868e+002
 5.500000e-004, 3.415071e+003,-1.174429e+003,-2.273359e+003, 0.000000e+000, 2.307010e+002, 4.233905e+001,-1.589075e+002
 6.000000e-004, 3.407434e+003,-1.119158e+003,-2.323913e+003, 0.000000e+000, 2.177075e+002, 5.855333e+001,-1.576833e+002
