 Time         , Voltage      , Voltage      , Voltage      , Current      , Current      , Current      , Current      
 Second       , SBUS A       , SBUS B       , SBUS C       , HXX004       , SBUS A       , SBUS B       , SBUS C       
              ,              ,              ,              , HXX010       , 25   A       , 25   B       , 25   C       
 0.000000e+000, 3.390285e+003,-1.725061e+003,-1.666293e+003, 0.000000e+000, 3.164436e+002,-8.367797e+001,-1.465446e+002
 5.000000e-005, 3.390513e+003,-1.669568e+003,-1.721786e+003, 3.684206e-007, 3.168150e+002,-7.994947e+001,-1.506321e+002
 1.000000e-004, 3.424324e+003,-1.642991e+003,-1.786436e+003, 0.000000e+000, 3.147336e+002,-7.420742e+001,-1.540090e+002
 1.500000e-004, 3.445923e+003,-1.613596e+003,-1.848948e+003, 0.000000e+000, 3.086027e+002,-6.462167e+001,-1.561188e+002
 2.000000e-004, 3.441351e+003,-1.556531e+003,-1.904651e+003, 0.000000e+000, 3.008477e+002,-5.317387e+001,-1.574776e+002
 2.500000e-004, 3.442809e+003,-1.505503e+003,-1.959868e+003, 0.000000e+000, 2.926638e+002,-4.125026e+001,-1.584867e+002
 3.000000e-004, 3.436640e+003,-1.447967e+003,-2.012338e+003, 0.000000e+000, 2.839973e+002,-2.881415e+001,-1.592713e+002
 3.500000e-004, 3.436180e+003,-1.395398e+003,-2.066187e+003, 0.000000e+000, 2.748161e+002,-1.590367e+001,-1.598285e+002
 4.000000e-004, 3.430968e+003,-1.339815e+003,-2.117939e+003, 0.000000e+000, 2.648956e+002,-2.324717e+000,-1.601092e+002
 4.500000e-004, 3.427625e+003,-1.285567e+003,-2.170725e+003, 0.000000e+000, 2.542699e+002, 1.186944e+001,-1.600849e+002
 5.000000e-004, 3.421859e+003,-1.230694e+003,-2.221933e+003, 0.000000e+000, 2.428171e+002, 2.678341e+001,-1.596902e+002
 5.500000e-004, 3.415174e+003,-1.174433e+003,-2.273387e+003, 0.000000e+000, 2.306032e+002, 4.233567e+001,-1.589103e+002
 6.000000e-004, 3.407359e+003,-1.119163e+003,-2.323899e+003, 0.000000e+000, 2.176079e+002, 5.855057e+001,-1.576851e+002
